corrida,semilla,episodio_convergencia_prop_rapida,episodio_convergencia_calma
1000,1000,46200,27829
1001,1001,49306,40088
1002,1002,46985,5740
1003,1003,48864,2991
1004,1004,46861,38764
1005,1005,48673,5025
1006,1006,41349,43007
1007,1007,49923,31306
1008,1008,49854,47359
1009,1009,47960,4417
1010,1010,42152,23532
1011,1011,48918,22607
1012,1012,45324,44642
1013,1013,46570,2204
1014,1014,46034,40748
1015,1015,47192,5093
1016,1016,48910,2489
1017,1017,48880,2624
1018,1018,49151,15410
1019,1019,44061,33221
1020,1020,48562,8332
1021,1021,48636,1889
1022,1022,47896,6183
1023,1023,43940,39739
1024,1024,47678,37632
1025,1025,46292,9355
1026,1026,48887,28440
1027,1027,49940,2117
1028,1028,48749,42109
1029,1029,44292,10855
