episodio,retorno,c_medio,coste_medio,epsilon,error_TD_medio
0,-129.0736,0.3934,4.8603,0.1900,0.493625
1,-130.7712,0.3733,5.0767,0.1805,0.479051
2,-115.8688,0.3794,5.0192,0.1715,0.527107
3,-99.3502,0.3640,4.9370,0.1629,0.530147
4,-79.5298,0.3678,5.1644,0.1548,0.550578
5,-106.7119,0.3800,4.9699,0.1470,0.561326
6,-123.3916,0.3823,4.9507,0.1397,0.509396
7,-85.4709,0.3749,4.9781,0.1327,0.594253
8,-23.3485,0.3480,5.1507,0.1260,0.706444
9,-33.3743,0.3505,5.3096,0.1197,0.692115
10,-70.3453,0.3638,4.9890,0.1138,0.647025
11,-117.9418,0.3795,5.0110,0.1081,0.484157
12,-29.7083,0.3588,5.1479,0.1027,0.693241
13,-13.6314,0.3530,5.0712,0.0975,0.651270
14,62.0556,0.3367,5.2603,0.0927,0.930987
15,-86.4255,0.3602,5.0959,0.0880,0.551941
16,-38.9061,0.3659,4.9534,0.0836,0.742164
17,-21.1884,0.3583,5.1096,0.0794,0.783657
18,19.8180,0.3473,5.0356,0.0755,0.799337
19,13.5871,0.3467,5.2849,0.0717,0.900001
20,-77.4200,0.3729,5.0630,0.0681,0.691662
21,57.7048,0.3475,5.1726,0.0647,0.979306
22,-13.2371,0.3499,5.1151,0.0615,0.811622
23,-3.9020,0.3545,5.1068,0.0584,0.768169
24,36.1432,0.3544,5.0219,0.0555,0.875995
25,82.6001,0.3421,5.2712,0.0527,0.977895
26,53.2758,0.3256,5.3918,0.0501,0.921844
27,107.9642,0.3279,5.3370,0.0476,0.847158
28,27.3764,0.3581,4.9973,0.0452,0.727816
29,83.8474,0.3243,5.2247,0.0429,0.826218
30,113.5132,0.3315,5.3014,0.0408,1.002707
31,12.5853,0.3395,5.3397,0.0387,0.772068
32,73.0062,0.3337,5.3781,0.0368,0.886321
33,36.4510,0.3459,5.2192,0.0350,0.831411
34,53.8190,0.3473,5.2164,0.0332,0.804714
35,-29.4565,0.3663,5.0630,0.0316,0.621203
36,118.3700,0.3185,5.1836,0.0300,0.864443
37,118.2554,0.3198,5.2603,0.0285,0.913493
38,95.1975,0.3163,5.3233,0.0271,0.976370
39,97.0101,0.3284,5.4466,0.0257,0.742138
40,87.3359,0.3343,5.3205,0.0244,0.861778
41,60.5643,0.3335,5.3342,0.0232,0.767151
42,86.2798,0.3276,5.3233,0.0220,0.862154
43,53.6245,0.3422,5.1562,0.0209,0.804086
44,110.3371,0.3276,5.4164,0.0200,0.842733
45,-2.7873,0.3552,5.1397,0.0200,0.619747
46,88.6400,0.3310,5.1562,0.0200,0.707599
47,95.9093,0.3396,5.2603,0.0200,0.777631
48,104.5453,0.3438,5.0877,0.0200,0.713644
49,134.7835,0.3260,5.1315,0.0200,0.821655
50,113.5008,0.3325,5.0712,0.0200,0.765951
51,111.4234,0.3357,5.0658,0.0200,0.746796
52,119.0939,0.3317,5.2301,0.0200,0.815084
53,126.0031,0.3356,5.1178,0.0200,0.685001
54,82.9853,0.3410,5.1726,0.0200,0.884378
55,47.1726,0.3351,5.2027,0.0200,0.675664
56,0.6888,0.3639,4.9370,0.0200,0.859385
57,101.0400,0.3430,5.1342,0.0200,0.881898
58,144.0027,0.3217,5.0822,0.0200,0.705090
59,75.4390,0.3426,5.0548,0.0200,0.768258
60,129.1373,0.3252,5.0521,0.0200,0.799203
61,85.2121,0.3403,5.2438,0.0200,0.752905
62,96.3828,0.3407,5.1507,0.0200,0.658653
63,114.6922,0.3306,5.1808,0.0200,0.670771
64,113.3238,0.3358,5.1096,0.0200,0.855211
65,100.0081,0.3384,5.0603,0.0200,0.678940
66,75.7048,0.3429,5.1342,0.0200,0.697626
67,94.7238,0.3302,5.2274,0.0200,0.785957
68,91.1634,0.3248,5.1616,0.0200,0.699784
69,93.6090,0.3467,5.0411,0.0200,0.743763
70,92.9178,0.3472,5.1342,0.0200,0.746748
71,134.3409,0.3270,5.1699,0.0200,0.797012
72,85.9794,0.3508,5.0192,0.0200,0.629481
73,42.2085,0.3522,5.0849,0.0200,0.807434
74,121.5817,0.3372,5.1123,0.0200,0.712871
75,64.6604,0.3423,5.0603,0.0200,0.620582
76,71.5096,0.3449,5.2274,0.0200,0.705970
77,129.3033,0.3240,5.1288,0.0200,0.720107
78,124.7557,0.3206,5.1562,0.0200,0.628583
79,101.9728,0.3253,5.2658,0.0200,0.806088
80,107.5656,0.3353,5.2849,0.0200,0.620223
81,62.2033,0.3354,5.2192,0.0200,0.685394
82,88.7758,0.3261,5.1644,0.0200,0.620480
83,125.3306,0.3439,5.1397,0.0200,0.660605
84,123.0440,0.3131,5.0685,0.0200,0.769734
85,74.6700,0.3441,5.0466,0.0200,0.715933
86,119.2986,0.3308,5.0521,0.0200,0.768319
87,80.1313,0.3318,5.1945,0.0200,0.714556
88,137.3753,0.3190,5.2055,0.0200,0.750121
89,147.0163,0.3176,5.0356,0.0200,0.722128
90,109.7174,0.3340,5.3288,0.0200,0.899460
91,114.5666,0.3341,5.1288,0.0200,0.708744
92,140.2515,0.3282,5.1288,0.0200,0.797718
93,73.0502,0.3376,5.2082,0.0200,0.690337
94,44.5187,0.3536,5.1068,0.0200,0.644351
95,100.7321,0.3248,4.9973,0.0200,0.659368
96,103.3697,0.3410,5.1836,0.0200,0.653361
97,128.5265,0.3213,5.1753,0.0200,0.662424
98,93.2038,0.3304,5.2219,0.0200,0.787377
99,155.6392,0.3383,5.1260,0.0200,0.665564
100,106.1666,0.3273,5.1233,0.0200,0.695524
101,71.2534,0.3105,5.1534,0.0200,0.735343
102,63.6142,0.3352,5.1288,0.0200,0.651683
103,127.2509,0.3280,5.1315,0.0200,0.683217
104,107.1651,0.3311,5.1918,0.0200,0.802196
