episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
0,-110.4766,-120.5777,-100.3754,0.635075,0.612239,0.657912
1,-100.5763,-111.8075,-89.3451,0.622575,0.604179,0.640971
2,-88.0532,-102.8200,-73.2864,0.617963,0.589933,0.645993
3,-79.5978,-96.3939,-62.8018,0.630133,0.600121,0.660144
4,-67.5504,-80.9768,-54.1240,0.652354,0.628992,0.675715
5,-61.1193,-77.9881,-44.2504,0.682572,0.645904,0.719241
6,-47.3682,-67.7614,-26.9749,0.704497,0.661439,0.747554
7,-22.5033,-39.9228,-5.0838,0.752508,0.711153,0.793862
8,-28.3500,-48.1261,-8.5738,0.765586,0.714495,0.816677
9,-14.3984,-33.6982,4.9015,0.779244,0.730551,0.827937
10,-20.5779,-39.7975,-1.3582,0.755817,0.710491,0.801144
11,-1.9159,-22.5369,18.7052,0.798076,0.749528,0.846624
12,-2.7420,-23.1941,17.7101,0.807239,0.758935,0.855542
13,1.2198,-23.0916,25.5312,0.813116,0.760868,0.865363
14,18.7343,-0.7171,38.1857,0.853421,0.806839,0.900003
15,6.3504,-14.4434,27.1443,0.831326,0.770490,0.892163
16,18.7632,-2.4983,40.0246,0.844564,0.791825,0.897303
17,11.1782,-9.6560,32.0124,0.829825,0.782473,0.877176
18,23.6779,-0.4274,47.7831,0.857188,0.803759,0.910618
19,21.9654,7.6065,36.3244,0.837538,0.803548,0.871527
20,51.5140,32.1187,70.9093,0.848201,0.809989,0.886413
21,34.2338,15.7358,52.7319,0.853980,0.813602,0.894358
22,48.0183,30.1996,65.8370,0.859478,0.817934,0.901022
23,36.7984,17.5809,56.0159,0.845586,0.800213,0.890958
24,55.7976,37.1491,74.4460,0.871391,0.827792,0.914989
25,58.5398,38.9830,78.0965,0.893039,0.843836,0.942242
26,36.3151,20.2681,52.3622,0.845231,0.803989,0.886473
27,48.0445,29.2700,66.8190,0.824752,0.779850,0.869655
28,48.7580,32.7372,64.7788,0.837047,0.797170,0.876924
29,57.8033,40.9948,74.6118,0.821117,0.779424,0.862810
30,52.3196,36.6992,67.9399,0.827007,0.795219,0.858795
31,63.4134,49.4657,77.3610,0.851387,0.811923,0.890851
32,59.0257,40.5418,77.5097,0.817124,0.779756,0.854491
33,63.2537,49.1239,77.3835,0.828612,0.800312,0.856912
34,66.3923,52.5790,80.2056,0.853050,0.820843,0.885258
35,81.3479,68.3151,94.3806,0.822575,0.802812,0.842338
36,76.0374,60.1686,91.9063,0.820424,0.789275,0.851574
37,67.5315,50.3826,84.6804,0.822603,0.800156,0.845049
38,75.2670,58.2302,92.3038,0.827527,0.793898,0.861157
39,76.6442,65.5751,87.7133,0.830740,0.795016,0.866464
40,84.4542,73.2206,95.6878,0.802719,0.760731,0.844707
41,79.6174,66.6180,92.6168,0.790823,0.751198,0.830448
42,67.9656,47.9073,88.0238,0.786226,0.746853,0.825599
43,88.7814,73.1120,104.4508,0.808619,0.774025,0.843214
44,73.6262,58.8962,88.3561,0.766810,0.740472,0.793148
45,81.5951,68.7729,94.4172,0.782214,0.745580,0.818848
46,74.7074,57.3661,92.0486,0.783216,0.749855,0.816577
47,82.5487,68.0110,97.0865,0.787145,0.758392,0.815899
48,79.8059,65.0078,94.6040,0.774244,0.735973,0.812515
49,69.1354,54.6307,83.6402,0.759830,0.727315,0.792345
50,71.4313,53.3149,89.5477,0.775121,0.743633,0.806610
51,87.4225,69.7121,105.1328,0.782104,0.746624,0.817584
52,83.3662,67.0278,99.7047,0.769736,0.735541,0.803930
53,88.8929,78.2184,99.5674,0.787264,0.750307,0.824220
54,91.0438,79.6011,102.4865,0.752155,0.724414,0.779896
55,91.5277,77.2564,105.7989,0.804086,0.765694,0.842479
56,94.1286,82.6951,105.5621,0.768858,0.734414,0.803303
57,90.5687,79.5754,101.5621,0.776103,0.744349,0.807858
58,85.4386,71.7061,99.1712,0.776122,0.747894,0.804350
59,82.5997,70.4809,94.7184,0.794121,0.758184,0.830057
60,84.7551,74.1923,95.3179,0.785025,0.752576,0.817474
61,93.3874,83.1002,103.6747,0.782132,0.747170,0.817094
62,87.0454,74.2825,99.8083,0.779463,0.747013,0.811913
63,83.6281,71.9652,95.2910,0.770717,0.737464,0.803971
64,78.4199,64.9321,91.9077,0.777885,0.738607,0.817163
65,89.0781,76.3235,101.8326,0.761615,0.722552,0.800679
66,86.0913,73.8962,98.2864,0.772071,0.731488,0.812653
67,88.4617,76.3449,100.5784,0.798465,0.758419,0.838511
68,84.8090,72.0632,97.5548,0.766133,0.735922,0.796344
69,97.7091,85.7723,109.6459,0.795338,0.756211,0.834466
70,94.7763,83.9473,105.6053,0.762804,0.734621,0.790987
71,90.0997,76.0620,104.1373,0.752584,0.715497,0.789672
72,87.0839,74.6028,99.5651,0.763727,0.726562,0.800892
73,86.9913,74.7919,99.1907,0.779403,0.743179,0.815626
74,88.5569,76.1249,100.9889,0.773378,0.740665,0.806090
75,89.7350,80.3209,99.1490,0.779337,0.742104,0.816570
76,92.7830,82.3828,103.1832,0.778996,0.743738,0.814254
77,96.8672,86.3326,107.4017,0.770905,0.740197,0.801614
78,88.0840,75.5851,100.5829,0.786433,0.754826,0.818039
79,81.1559,67.6820,94.6299,0.786509,0.755706,0.817313
80,98.7991,87.4010,110.1973,0.777545,0.743061,0.812030
81,92.3690,82.2585,102.4794,0.774594,0.734450,0.814738
82,95.0959,83.8013,106.3904,0.781193,0.757338,0.805047
83,97.7412,90.2865,105.1959,0.780298,0.752313,0.808283
84,84.6597,72.8011,96.5183,0.773474,0.737757,0.809192
85,88.0696,73.8532,102.2860,0.754986,0.721073,0.788900
86,94.0271,81.3207,106.7335,0.740510,0.704766,0.776253
87,100.3251,89.9126,110.7376,0.744625,0.710501,0.778748
88,89.3287,75.6155,103.0420,0.761398,0.726933,0.795864
89,98.5367,88.3703,108.7032,0.771361,0.740349,0.802373
90,95.8316,86.4702,105.1930,0.750458,0.713987,0.786929
91,91.4611,83.0824,99.8398,0.770980,0.736201,0.805759
92,91.8036,81.3656,102.2415,0.780623,0.747179,0.814066
93,99.4311,87.7831,111.0792,0.765726,0.727852,0.803600
94,94.0167,83.3211,104.7123,0.784768,0.745507,0.824029
95,95.3581,83.5687,107.1475,0.769507,0.739979,0.799034
96,87.0133,74.9224,99.1042,0.767603,0.731712,0.803495
97,99.6955,85.5881,113.8030,0.782968,0.741864,0.824071
98,93.7691,82.6452,104.8929,0.758473,0.721478,0.795468
99,94.4924,85.5784,103.4064,0.750774,0.713190,0.788357
100,101.5741,89.9383,113.2098,0.762184,0.728391,0.795977
101,98.9987,89.6837,108.3137,0.753251,0.718996,0.787507
102,97.4197,84.4630,110.3763,0.732648,0.705542,0.759754
103,99.5072,89.5033,109.5111,0.748008,0.717592,0.778424
104,87.6880,74.9874,100.3885,0.772881,0.741566,0.804195
105,94.4482,86.3570,102.5394,0.746959,0.718470,0.775448
106,99.9429,89.9719,109.9139,0.753595,0.716973,0.790218
107,98.5620,88.5588,108.5652,0.763990,0.732464,0.795516
108,94.6350,83.8065,105.4634,0.784885,0.743872,0.825898
109,94.5552,84.8794,104.2309,0.773283,0.737928,0.808638
110,94.5517,84.8402,104.2632,0.755178,0.723622,0.786734
111,96.9038,85.6417,108.1660,0.730269,0.697280,0.763259
112,95.0468,83.6531,106.4405,0.749117,0.720798,0.777436
113,92.7898,80.3379,105.2418,0.740921,0.706813,0.775028
