estado,fase,visitas,d_pi,H_pi_nats,H_pi_norm,action_gap,ventaja_media
c=B dc=- h=B dh=- L=A dL=+ preo=B,calma,2090921,0.122110,4.3028,0.9791,0.38999,1.22106
c=M dc=+ h=B dh=+ L=B dL=- preo=B,prop_rapida,1895185,0.112521,3.9305,0.8944,0.08301,2.06515
c=M dc=+ h=B dh=- L=B dL=- preo=B,prop_rapida,1660887,0.101288,3.9654,0.9024,0.13036,2.03379
c=B dc=- h=B dh=+ L=A dL=+ preo=B,calma,1561634,0.085014,4.2913,0.9765,0.40222,1.21598
c=M dc=+ h=B dh=0 L=B dL=- preo=B,prop_rapida,1012387,0.059918,3.9450,0.8977,0.24214,2.16572
c=B dc=- h=B dh=0 L=A dL=+ preo=B,calma,991023,0.057753,4.3002,0.9786,0.38371,1.16177
c=M dc=+ h=M dh=+ L=B dL=- preo=B,prop_rapida,678853,0.048274,3.8219,0.8697,0.30799,2.51572
c=B dc=- h=M dh=+ L=A dL=+ preo=B,calma,545000,0.035507,4.2646,0.9704,0.37024,1.31368
c=B dc=+ h=B dh=- L=B dL=- preo=B,prop_lenta,532047,0.021342,4.2868,0.9755,0.20147,0.95966
c=B dc=- h=B dh=- L=M dL=+ preo=B,calma,413846,0.020411,4.2838,0.9748,0.20566,1.05804
c=B dc=+ h=B dh=+ L=B dL=- preo=B,prop_lenta,388683,0.017781,4.2900,0.9762,0.32704,1.06781
c=B dc=- h=M dh=- L=A dL=+ preo=B,calma,326612,0.021945,4.2762,0.9731,0.33270,1.22838
c=M dc=- h=B dh=- L=A dL=+ preo=B,calma,275837,0.016438,4.2710,0.9719,0.19067,1.32673
c=M dc=+ h=M dh=- L=B dL=- preo=B,prop_rapida,259547,0.020027,3.8827,0.8835,0.36813,2.34533
c=B dc=- h=B dh=+ L=M dL=+ preo=B,calma,247360,0.012164,4.2523,0.9677,0.29486,1.21310
c=M dc=+ h=M dh=0 L=B dL=- preo=B,prop_rapida,233442,0.015671,3.8815,0.8833,0.31763,2.52764
c=B dc=- h=M dh=0 L=A dL=+ preo=B,calma,232508,0.016329,4.2475,0.9666,0.28937,1.27882
c=B dc=+ h=B dh=0 L=B dL=- preo=B,prop_lenta,231322,0.010466,4.2835,0.9748,0.23912,1.04412
c=M dc=- h=B dh=+ L=A dL=+ preo=B,calma,225552,0.009890,4.2288,0.9623,0.18151,1.43053
c=B dc=+ h=M dh=+ L=B dL=- preo=B,prop_lenta,205000,0.009370,4.2231,0.9610,0.14570,1.08561
c=B dc=- h=B dh=0 L=M dL=+ preo=B,calma,161749,0.008986,4.2327,0.9632,0.25972,1.24921
c=B dc=- h=B dh=+ L=A dL=0 preo=B,calma,161406,0.012658,4.2586,0.9691,0.25715,1.22775
c=B dc=+ h=M dh=- L=B dL=- preo=B,prop_lenta,139883,0.006027,4.2012,0.9560,0.08941,1.07652
c=M dc=- h=B dh=0 L=A dL=+ preo=B,calma,137325,0.007096,4.1957,0.9548,0.18685,1.47831
c=B dc=- h=M dh=+ L=M dL=+ preo=B,calma,133108,0.007233,4.2346,0.9636,0.22276,1.15186
c=B dc=- h=A dh=- L=A dL=+ preo=A,emergencia,116371,0.002055,4.3418,0.9880,0.33869,1.14433
c=A dc=+ h=B dh=+ L=B dL=- preo=B,emergencia,114824,0.007041,3.9233,0.8928,0.86425,2.72609
c=B dc=- h=M dh=- L=M dL=+ preo=B,calma,113376,0.005479,4.2219,0.9607,0.23587,1.17978
c=B dc=- h=B dh=- L=A dL=0 preo=B,calma,104019,0.008493,4.2329,0.9632,0.20733,1.35415
c=B dc=+ h=M dh=0 L=B dL=- preo=B,prop_lenta,97558,0.004575,4.2251,0.9615,0.34685,1.29205
c=B dc=0 h=B dh=- L=M dL=+ preo=B,calma,88982,0.003370,4.2552,0.9683,0.22703,1.09501
c=A dc=+ h=B dh=- L=B dL=- preo=B,emergencia,83769,0.005479,3.7826,0.8608,0.75510,2.86944
c=B dc=- h=B dh=0 L=A dL=0 preo=B,calma,77160,0.006164,4.2308,0.9628,0.25855,1.45052
c=B dc=- h=M dh=0 L=M dL=+ preo=B,calma,70672,0.003397,4.2218,0.9607,0.05546,1.19810
c=M dc=- h=M dh=+ L=A dL=+ preo=B,calma,59307,0.003288,4.1439,0.9430,0.14220,1.51618
c=A dc=+ h=B dh=0 L=B dL=- preo=B,emergencia,55635,0.003315,3.7362,0.8502,0.23643,2.52934
c=B dc=+ h=A dh=- L=B dL=- preo=A,emergencia,55609,0.001397,4.3649,0.9933,0.49847,0.83596
