rank,estado,fase,nivel_contagio,visitas,d_pi,d_pi_descontada
1,c=B dc=- h=B dh=- L=A dL=+ preo=B,calma,B,2090921,0.122110,0.048534
2,c=M dc=+ h=B dh=+ L=B dL=- preo=B,prop_rapida,M,1895185,0.112521,0.071660
3,c=M dc=+ h=B dh=- L=B dL=- preo=B,prop_rapida,M,1660887,0.101288,0.043656
4,c=B dc=- h=B dh=+ L=A dL=+ preo=B,calma,B,1561634,0.085014,0.063749
5,c=M dc=+ h=B dh=0 L=B dL=- preo=B,prop_rapida,M,1012387,0.059918,0.027348
6,c=B dc=- h=B dh=0 L=A dL=+ preo=B,calma,B,991023,0.057753,0.024455
7,c=M dc=+ h=M dh=+ L=B dL=- preo=B,prop_rapida,M,678853,0.048274,0.013352
8,c=B dc=- h=M dh=+ L=A dL=+ preo=B,calma,B,545000,0.035507,0.010560
9,c=B dc=- h=M dh=- L=A dL=+ preo=B,calma,B,326612,0.021945,0.007700
10,c=B dc=+ h=B dh=- L=B dL=- preo=B,prop_lenta,B,532047,0.021342,0.021707
11,c=B dc=- h=B dh=- L=M dL=+ preo=B,calma,B,413846,0.020411,0.014382
12,c=M dc=+ h=M dh=- L=B dL=- preo=B,prop_rapida,M,259547,0.020027,0.005741
13,c=B dc=+ h=B dh=+ L=B dL=- preo=B,prop_lenta,B,388683,0.017781,0.013947
14,c=M dc=- h=B dh=- L=A dL=+ preo=B,calma,M,275837,0.016438,0.005710
15,c=B dc=- h=M dh=0 L=A dL=+ preo=B,calma,B,232508,0.016329,0.004037
16,c=M dc=+ h=M dh=0 L=B dL=- preo=B,prop_rapida,M,233442,0.015671,0.004724
17,c=B dc=- h=B dh=+ L=A dL=0 preo=B,calma,B,161406,0.012658,0.009913
18,c=B dc=- h=B dh=+ L=M dL=+ preo=B,calma,B,247360,0.012164,0.011663
19,c=B dc=+ h=B dh=0 L=B dL=- preo=B,prop_lenta,B,231322,0.010466,0.008372
20,c=M dc=- h=B dh=+ L=A dL=+ preo=B,calma,M,225552,0.009890,0.013732
21,c=B dc=+ h=M dh=+ L=B dL=- preo=B,prop_lenta,B,205000,0.009370,0.002521
22,c=B dc=- h=B dh=0 L=M dL=+ preo=B,calma,B,161749,0.008986,0.007153
23,c=B dc=- h=B dh=- L=A dL=0 preo=B,calma,B,104019,0.008493,0.003637
24,c=B dc=- h=M dh=+ L=M dL=+ preo=B,calma,B,133108,0.007233,0.002735
25,c=M dc=- h=B dh=0 L=A dL=+ preo=B,calma,M,137325,0.007096,0.003992
26,c=A dc=+ h=B dh=+ L=B dL=- preo=B,emergencia,A,114824,0.007041,0.013798
27,c=B dc=- h=B dh=0 L=A dL=0 preo=B,calma,B,77160,0.006164,0.003965
28,c=B dc=+ h=M dh=- L=B dL=- preo=B,prop_lenta,B,139883,0.006027,0.006054
29,c=B dc=- h=M dh=- L=M dL=+ preo=B,calma,B,113376,0.005479,0.002197
30,c=A dc=+ h=B dh=- L=B dL=- preo=B,emergencia,A,83769,0.005479,0.002422
31,c=B dc=+ h=M dh=0 L=B dL=- preo=B,prop_lenta,B,97558,0.004575,0.001502
32,c=B dc=- h=M dh=0 L=M dL=+ preo=B,calma,B,70672,0.003397,0.001490
33,c=B dc=0 h=B dh=- L=M dL=+ preo=B,calma,B,88982,0.003370,0.004530
34,c=A dc=+ h=B dh=0 L=B dL=- preo=B,emergencia,A,55635,0.003315,0.001307
35,c=M dc=- h=M dh=+ L=A dL=+ preo=B,calma,M,59307,0.003288,0.001944
36,c=B dc=- h=M dh=- L=A dL=+ preo=M,calma,B,47389,0.002822,0.004055
37,c=B dc=- h=M dh=+ L=A dL=0 preo=B,calma,B,28727,0.002548,0.000789
38,c=M dc=- h=M dh=- L=A dL=+ preo=B,calma,M,25857,0.002219,0.000638
39,c=B dc=0 h=B dh=+ L=M dL=+ preo=B,calma,B,46943,0.002219,0.002238
40,c=A dc=+ h=M dh=+ L=B dL=- preo=B,emergencia,A,31234,0.002110,0.001804
41,c=B dc=- h=A dh=- L=A dL=+ preo=A,emergencia,B,116371,0.002055,0.016771
42,c=B dc=- h=M dh=+ L=A dL=- preo=B,calma,B,25536,0.001973,0.001271
43,c=B dc=0 h=B dh=0 L=M dL=+ preo=B,calma,B,30362,0.001644,0.002141
44,c=B dc=- h=M dh=+ L=A dL=+ preo=M,calma,B,22685,0.001507,0.001824
45,c=B dc=0 h=M dh=+ L=M dL=+ preo=B,calma,B,21701,0.001507,0.000897
46,c=B dc=- h=M dh=- L=M dL=- preo=M,calma,B,24631,0.001452,0.003306
47,c=B dc=- h=A dh=+ L=A dL=+ preo=A,emergencia,B,23027,0.001452,0.016707
48,c=B dc=+ h=A dh=- L=B dL=- preo=A,emergencia,B,55609,0.001397,0.011213
49,c=M dc=- h=M dh=0 L=A dL=+ preo=B,calma,M,22295,0.001315,0.000435
50,c=B dc=- h=M dh=0 L=A dL=+ preo=M,calma,B,16959,0.001288,0.001384
51,c=B dc=- h=M dh=- L=M dL=- preo=B,calma,B,20222,0.001233,0.001145
52,c=A dc=- h=B dh=+ L=A dL=+ preo=A,emergencia,A,5957,0.001151,0.019399
53,c=B dc=- h=M dh=0 L=A dL=- preo=B,calma,B,12296,0.001123,0.000518
54,c=B dc=- h=B dh=- L=A dL=- preo=B,calma,B,36167,0.001123,0.000157
55,c=B dc=0 h=A dh=- L=B dL=- preo=A,emergencia,B,33306,0.001096,0.009101
56,c=B dc=0 h=A dh=- L=A dL=+ preo=A,emergencia,B,34668,0.001068,0.008717
57,c=A dc=+ h=M dh=0 L=B dL=- preo=B,emergencia,A,7903,0.001068,0.000319
58,c=A dc=0 h=B dh=0 L=B dL=0 preo=A,emergencia,A,287,0.001041,0.019000
59,c=B dc=- h=M dh=+ L=M dL=- preo=B,calma,B,20830,0.000986,0.000630
60,c=M dc=- h=M dh=- L=A dL=+ preo=M,calma,M,14487,0.000959,0.000579
61,c=B dc=0 h=M dh=- L=M dL=+ preo=B,calma,B,19961,0.000904,0.000957
62,c=B dc=- h=M dh=- L=A dL=- preo=B,calma,B,12136,0.000904,0.000607
63,c=A dc=- h=B dh=+ L=A dL=- preo=A,emergencia,A,3218,0.000795,0.012866
