estado,fase,mejor_accion,work,school,ptrans,conf,coste,Q_max,visitas
c=B dc=- h=B dh=- L=B dL=- preo=B,calma,"(2, 1, 2, 0)",2,1,2,0,5.0,17.6607,7537
c=B dc=- h=B dh=- L=B dL=- preo=M,calma,"(0, 0, 1, 1)",0,0,1,1,3.0,13.5902,311
c=B dc=- h=B dh=- L=B dL=- preo=A,calma,"(1, 1, 2, 2)",1,1,2,2,8.0,9.9644,248
c=B dc=- h=B dh=- L=B dL=0 preo=B,calma,"(0, 2, 0, 0)",0,2,0,0,2.0,17.1858,299
c=B dc=- h=B dh=- L=B dL=0 preo=M,calma,"(1, 2, 1, 1)",1,2,1,1,6.0,16.5452,22
c=B dc=- h=B dh=- L=B dL=0 preo=A,calma,"(2, 2, 1, 1)",2,2,1,1,7.0,13.2051,58
c=B dc=- h=B dh=- L=B dL=+ preo=B,calma,"(1, 1, 1, 0)",1,1,1,0,3.0,17.1734,767
c=B dc=- h=B dh=- L=B dL=+ preo=M,calma,"(1, 1, 0, 0)",1,1,0,0,2.0,13.8676,8
c=B dc=- h=B dh=- L=B dL=+ preo=A,calma,"(2, 2, 1, 2)",2,2,1,2,9.0,10.4925,76
c=B dc=- h=B dh=- L=M dL=- preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,17.9770,25448
c=B dc=- h=B dh=- L=M dL=- preo=M,calma,"(2, 2, 2, 2)",2,2,2,2,10.0,16.1726,5047
c=B dc=- h=B dh=- L=M dL=- preo=A,calma,"(1, 2, 2, 1)",1,2,2,1,7.0,10.8417,84
c=B dc=- h=B dh=- L=M dL=0 preo=B,calma,"(2, 1, 2, 1)",2,1,2,1,7.0,17.5993,8412
c=B dc=- h=B dh=- L=M dL=0 preo=M,calma,"(0, 2, 1, 1)",0,2,1,1,5.0,14.7497,559
c=B dc=- h=B dh=- L=M dL=0 preo=A,calma,"(2, 0, 1, 0)",2,0,1,0,3.0,11.7258,56
c=B dc=- h=B dh=- L=M dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.1147,413846
c=B dc=- h=B dh=- L=M dL=+ preo=M,calma,"(2, 2, 1, 1)",2,2,1,1,7.0,15.6716,1791
c=B dc=- h=B dh=- L=M dL=+ preo=A,calma,"(2, 2, 1, 2)",2,2,1,2,9.0,11.8855,288
c=B dc=- h=B dh=- L=A dL=- preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.1663,36167
c=B dc=- h=B dh=- L=A dL=- preo=M,calma,"(2, 1, 1, 1)",2,1,1,1,6.0,16.2583,872
c=B dc=- h=B dh=- L=A dL=- preo=A,calma,"(2, 0, 0, 1)",2,0,0,1,4.0,7.8545,13
c=B dc=- h=B dh=- L=A dL=0 preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.2059,104019
c=B dc=- h=B dh=- L=A dL=0 preo=M,calma,"(0, 0, 1, 0)",0,0,1,0,1.0,15.1958,1671
c=B dc=- h=B dh=- L=A dL=0 preo=A,calma,"(2, 0, 2, 1)",2,0,2,1,6.0,7.7464,9
c=B dc=- h=B dh=- L=A dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.2790,2090921
c=B dc=- h=B dh=- L=A dL=+ preo=M,calma,"(1, 0, 1, 2)",1,0,1,2,6.0,14.8269,13000
c=B dc=- h=B dh=- L=A dL=+ preo=A,calma,"(0, 0, 0, 1)",0,0,0,1,2.0,9.6976,821
c=B dc=- h=B dh=0 L=B dL=- preo=B,calma,"(0, 1, 1, 0)",0,1,1,0,2.0,17.4296,2654
c=B dc=- h=B dh=0 L=B dL=- preo=M,calma,"(0, 2, 1, 2)",0,2,1,2,7.0,15.5624,76
c=B dc=- h=B dh=0 L=B dL=- preo=A,calma,"(0, 0, 1, 2)",0,0,1,2,5.0,10.0241,46
c=B dc=- h=B dh=0 L=B dL=0 preo=B,calma,"(2, 0, 2, 0)",2,0,2,0,4.0,16.4926,96
c=B dc=- h=B dh=0 L=B dL=0 preo=M,calma,"(1, 2, 0, 0)",1,2,0,0,3.0,11.4528,2
c=B dc=- h=B dh=0 L=B dL=0 preo=A,calma,"(0, 1, 1, 1)",0,1,1,1,4.0,9.7956,12
c=B dc=- h=B dh=0 L=B dL=+ preo=B,calma,"(0, 0, 1, 1)",0,0,1,1,3.0,17.2009,250
c=B dc=- h=B dh=0 L=B dL=+ preo=M,calma,"(1, 1, 2, 0)",1,1,2,0,4.0,12.0623,3
c=B dc=- h=B dh=0 L=B dL=+ preo=A,calma,"(0, 0, 1, 2)",0,0,1,2,5.0,8.1125,8
c=B dc=- h=B dh=0 L=M dL=- preo=B,calma,"(2, 1, 2, 1)",2,1,2,1,7.0,17.7526,7564
c=B dc=- h=B dh=0 L=M dL=- preo=M,calma,"(2, 1, 1, 0)",2,1,1,0,4.0,15.0789,644
c=B dc=- h=B dh=0 L=M dL=- preo=A,calma,"(1, 2, 2, 2)",1,2,2,2,9.0,9.0598,32
c=B dc=- h=B dh=0 L=M dL=0 preo=B,calma,"(1, 0, 2, 0)",1,0,2,0,3.0,17.0462,3066
c=B dc=- h=B dh=0 L=M dL=0 preo=M,calma,"(1, 1, 2, 1)",1,1,2,1,6.0,15.1353,88
c=B dc=- h=B dh=0 L=M dL=0 preo=A,calma,"(0, 2, 2, 1)",0,2,2,1,6.0,8.7269,15
c=B dc=- h=B dh=0 L=M dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.2866,161749
c=B dc=- h=B dh=0 L=M dL=+ preo=M,calma,"(1, 1, 0, 0)",1,1,0,0,2.0,14.0648,308
c=B dc=- h=B dh=0 L=M dL=+ preo=A,calma,"(2, 1, 2, 0)",2,1,2,0,5.0,9.3805,110
