estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=B dc=- h=B dh=- L=B dL=- preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Bajo,calma,7537,"(2, 1, 2, 0)",0.4454,5.0,"(0, 2, 1, 2)",0.0858,7.0,"(2, 0, 0, 0)",0.0681,2.0
c=B dc=- h=B dh=- L=B dL=- preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Medio,calma,311,"(0, 0, 1, 1)",0.9941,3.0,"(2, 2, 2, 2)",0.0037,10.0,"(0, 2, 1, 0)",0.0009,3.0
c=B dc=- h=B dh=- L=B dL=- preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (baja); cumplimiento Alto,calma,248,"(1, 1, 2, 2)",0.9325,8.0,"(0, 0, 1, 1)",0.0360,3.0,"(0, 1, 0, 0)",0.0132,1.0
c=B dc=- h=B dh=- L=B dL=0 preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Bajo,calma,299,"(0, 2, 0, 0)",0.9986,2.0,"(0, 0, 2, 0)",0.0011,2.0,"(2, 2, 0, 2)",0.0002,8.0
c=B dc=- h=B dh=- L=B dL=0 preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Medio,calma,22,"(1, 2, 1, 1)",1.0000,6.0,"(0, 2, 0, 2)",0.0000,6.0,"(0, 2, 1, 1)",0.0000,5.0
c=B dc=- h=B dh=- L=B dL=0 preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (estable); cumplimiento Alto,calma,58,"(2, 2, 1, 1)",0.9999,7.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=B dh=- L=B dL=+ preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Bajo,calma,767,"(1, 1, 1, 0)",0.9929,3.0,"(2, 0, 1, 2)",0.0058,7.0,"(0, 2, 0, 2)",0.0003,6.0
c=B dc=- h=B dh=- L=B dL=+ preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Medio,calma,8,"(1, 1, 0, 0)",0.9999,2.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=B dc=- h=B dh=- L=B dL=+ preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Bajo (sube); cumplimiento Alto,calma,76,"(2, 2, 1, 2)",0.9476,9.0,"(1, 0, 2, 0)",0.0483,3.0,"(1, 0, 0, 0)",0.0020,1.0
c=B dc=- h=B dh=- L=M dL=- preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Bajo,calma,25448,"(0, 0, 0, 0)",0.0654,0.0,"(1, 2, 0, 2)",0.0410,7.0,"(0, 0, 1, 0)",0.0352,1.0
c=B dc=- h=B dh=- L=M dL=- preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Medio,calma,5047,"(2, 2, 2, 2)",0.5561,10.0,"(1, 0, 0, 1)",0.0924,3.0,"(2, 1, 2, 1)",0.0853,7.0
c=B dc=- h=B dh=- L=M dL=- preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (baja); cumplimiento Alto,calma,84,"(1, 2, 2, 1)",0.9981,7.0,"(2, 2, 2, 0)",0.0004,6.0,"(2, 2, 2, 2)",0.0000,10.0
c=B dc=- h=B dh=- L=M dL=0 preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Bajo,calma,8412,"(2, 1, 2, 1)",0.2758,7.0,"(1, 0, 0, 0)",0.1245,1.0,"(1, 2, 1, 0)",0.0994,4.0
c=B dc=- h=B dh=- L=M dL=0 preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Medio,calma,559,"(0, 2, 1, 1)",0.8995,5.0,"(2, 0, 1, 2)",0.0863,7.0,"(0, 2, 1, 0)",0.0070,3.0
c=B dc=- h=B dh=- L=M dL=0 preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (estable); cumplimiento Alto,calma,56,"(2, 0, 1, 0)",0.9964,3.0,"(0, 1, 1, 1)",0.0018,4.0,"(2, 0, 2, 0)",0.0005,4.0
c=B dc=- h=B dh=- L=M dL=+ preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Bajo,calma,413846,"(0, 0, 0, 0)",0.0312,0.0,"(2, 2, 1, 1)",0.0254,7.0,"(1, 2, 0, 2)",0.0247,7.0
c=B dc=- h=B dh=- L=M dL=+ preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Medio,calma,1791,"(2, 2, 1, 1)",0.9866,7.0,"(0, 1, 0, 1)",0.0037,3.0,"(1, 2, 1, 2)",0.0029,8.0
c=B dc=- h=B dh=- L=M dL=+ preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Medio (sube); cumplimiento Alto,calma,288,"(2, 2, 1, 2)",0.9947,9.0,"(0, 1, 2, 1)",0.0013,5.0,"(1, 0, 0, 1)",0.0010,3.0
c=B dc=- h=B dh=- L=A dL=- preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Bajo,calma,36167,"(0, 0, 0, 0)",0.0580,0.0,"(0, 0, 1, 0)",0.0400,1.0,"(1, 2, 1, 0)",0.0327,4.0
c=B dc=- h=B dh=- L=A dL=- preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Medio,calma,872,"(2, 1, 1, 1)",0.9980,6.0,"(2, 0, 1, 0)",0.0003,3.0,"(1, 1, 1, 2)",0.0002,7.0
c=B dc=- h=B dh=- L=A dL=- preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (baja); cumplimiento Alto,calma,13,"(2, 0, 0, 1)",0.9700,4.0,"(2, 2, 2, 2)",0.0004,10.0,"(1, 1, 1, 0)",0.0004,3.0
c=B dc=- h=B dh=- L=A dL=0 preo=B,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Bajo,calma,104019,"(0, 0, 0, 0)",0.0401,0.0,"(1, 0, 0, 0)",0.0326,1.0,"(0, 0, 1, 0)",0.0320,1.0
c=B dc=- h=B dh=- L=A dL=0 preo=M,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Medio,calma,1671,"(0, 0, 1, 0)",0.9390,1.0,"(2, 0, 0, 0)",0.0334,2.0,"(1, 0, 0, 0)",0.0134,1.0
c=B dc=- h=B dh=- L=A dL=0 preo=A,contagio Bajo (baja); hospital Bajo (baja); restriccion Alto (estable); cumplimiento Alto,calma,9,"(2, 0, 2, 1)",0.9666,6.0,"(2, 2, 2, 2)",0.0004,10.0,"(1, 0, 0, 1)",0.0004,3.0
