fase,L,n,coste_medio,pct_sin_actuar,pct_relaja,work,school,ptrans,conf
emergencia,B,569,8.756,0.2,0.4,1.757,1.821,1.634,1.772
emergencia,M,101,6.455,0.0,23.8,1.248,1.465,1.426,1.158
emergencia,A,341,5.633,0.0,73.3,1.220,1.428,1.226,0.880
prop_rapida,B,6554,9.986,0.0,0.0,1.998,1.998,1.996,1.997
prop_rapida,M,27,7.185,0.0,14.8,1.778,1.593,1.667,1.074
prop_rapida,A,0,,,,,,,
prop_lenta,B,1267,5.805,0.2,0.5,1.975,1.979,1.827,0.012
prop_lenta,M,48,4.542,10.4,56.2,0.938,1.208,0.854,0.771
prop_lenta,A,8,5.000,0.0,75.0,1.125,0.750,0.875,1.125
calma,B,57,4.912,0.0,14.0,0.895,1.228,0.930,0.930
calma,M,1465,0.860,78.4,92.6,0.253,0.255,0.154,0.099
calma,A,7813,1.120,86.9,91.4,0.234,0.245,0.225,0.208
