corrida,semilla,episodio_convergencia_prop_rapida,episodio_convergencia_calma
1000,1000,99687,27829
1001,1001,98447,98436
1002,1002,95424,80601
1003,1003,99689,2991
1004,1004,95616,99760
1005,1005,98431,5025
1006,1006,98453,84566
1007,1007,95310,31306
1008,1008,96918,96898
1009,1009,97057,4417
1010,1010,98847,23532
1011,1011,99308,22607
1012,1012,88316,96486
1013,1013,98631,71670
1014,1014,90846,95351
1015,1015,93080,81490
1016,1016,97340,96087
1017,1017,99770,2624
1018,1018,99576,15410
1019,1019,88476,60749
1020,1020,99950,8332
1021,1021,98863,1889
1022,1022,94466,6183
1023,1023,95162,90396
1024,1024,92565,80436
1025,1025,89798,9355
1026,1026,98904,98853
1027,1027,98793,90011
1028,1028,99055,83237
1029,1029,98241,10855
1030,1030,95327,17109
1031,1031,94399,69156
1032,1032,99143,40779
1033,1033,99193,24534
1034,1034,97384,1746
1035,1035,97917,91295
1036,1036,95595,63611
1037,1037,98077,9831
1038,1038,95092,28570
1039,1039,91450,21574
1040,1040,93521,80602
1041,1041,98427,85262
1042,1042,92945,77146
1043,1043,82397,82406
1044,1044,99031,97599
1045,1045,96526,99869
1046,1046,95087,75913
1047,1047,81765,3048
1048,1048,92994,74892
1049,1049,96178,97180
