episodio,retorno_medio,retorno_ic95_lo,retorno_ic95_hi,td_medio,td_ic95_lo,td_ic95_hi
0,-116.0380,-122.9656,-109.1104,0.621301,0.605717,0.636885
1,-100.9986,-109.8011,-92.1962,0.622537,0.606458,0.638617
2,-95.4160,-105.9409,-84.8911,0.613182,0.594079,0.632285
3,-80.5627,-92.8013,-68.3242,0.635284,0.611630,0.658939
4,-72.2790,-82.6907,-61.8673,0.642829,0.621837,0.663822
5,-61.5986,-75.5821,-47.6150,0.668743,0.640007,0.697479
6,-55.7771,-69.8346,-41.7197,0.681197,0.651533,0.710861
7,-27.6281,-41.2679,-13.9883,0.737412,0.706780,0.768044
8,-29.6066,-43.1945,-16.0187,0.757833,0.721366,0.794300
9,-17.5730,-33.3520,-1.7940,0.766478,0.727959,0.804997
10,-19.9261,-34.7219,-5.1303,0.758151,0.723355,0.792947
11,-14.1014,-30.4258,2.2230,0.778365,0.741777,0.814953
12,-1.1020,-16.3717,14.1676,0.804026,0.765229,0.842824
13,-2.4019,-19.4912,14.6873,0.795958,0.753860,0.838055
14,7.7074,-8.0928,23.5076,0.828707,0.791092,0.866323
15,12.1267,-2.8641,27.1174,0.830822,0.786362,0.875283
16,22.0925,6.5387,37.6463,0.840521,0.802342,0.878701
17,16.6622,1.5717,31.7527,0.833289,0.797533,0.869045
18,20.0056,3.8762,36.1350,0.837791,0.799996,0.875586
19,22.5904,11.6264,33.5544,0.844726,0.815244,0.874208
20,41.1554,26.3202,55.9906,0.848419,0.815399,0.881438
21,37.0644,23.8964,50.2323,0.856473,0.825985,0.886961
22,43.8481,29.8440,57.8523,0.855727,0.822872,0.888583
23,34.2671,20.1656,48.3686,0.844479,0.811431,0.877527
24,47.3604,31.8263,62.8945,0.861792,0.830683,0.892900
25,54.8796,40.9910,68.7682,0.870874,0.836901,0.904847
26,41.7492,28.9269,54.5716,0.844662,0.813882,0.875441
27,53.0405,39.1217,66.9594,0.843580,0.810212,0.876947
28,52.6771,40.1850,65.1693,0.849555,0.818346,0.880764
29,53.3831,40.5594,66.2068,0.822473,0.788363,0.856583
30,53.0907,41.3146,64.8668,0.834578,0.806381,0.862775
31,56.5719,45.3647,67.7791,0.836160,0.807284,0.865037
32,61.9210,49.0981,74.7438,0.828960,0.798009,0.859911
33,63.7832,51.7194,75.8470,0.838104,0.811741,0.864466
34,66.0091,54.4676,77.5507,0.847378,0.819418,0.875338
35,70.5488,58.7176,82.3801,0.818063,0.799185,0.836941
36,68.6673,56.0284,81.3063,0.818943,0.794080,0.843805
37,72.8930,60.3727,85.4133,0.822104,0.799672,0.844537
38,70.7118,58.1162,83.3074,0.818549,0.790807,0.846291
39,71.8022,60.5545,83.0498,0.811443,0.783014,0.839871
40,76.2549,65.8482,86.6617,0.805188,0.773953,0.836422
41,80.2988,70.8520,89.7455,0.800811,0.769480,0.832142
42,66.3681,52.6933,80.0430,0.784602,0.753428,0.815776
43,83.6545,73.3340,93.9751,0.818793,0.787092,0.850494
44,78.7061,68.0816,89.3307,0.782593,0.756755,0.808431
45,72.5279,60.9303,84.1255,0.773601,0.744692,0.802511
46,71.4566,59.3117,83.6014,0.782825,0.757662,0.807989
47,86.0756,75.4665,96.6846,0.788463,0.760906,0.816020
48,83.9208,73.4194,94.4222,0.777344,0.747691,0.806997
49,76.1050,65.6066,86.6035,0.769064,0.744508,0.793620
50,72.2694,59.3712,85.1677,0.779032,0.750515,0.807548
51,84.3275,71.8370,96.8180,0.784446,0.758880,0.810013
52,78.9620,66.3222,91.6018,0.764897,0.739948,0.789847
53,89.5127,81.0104,98.0149,0.797434,0.765710,0.829158
54,86.2229,76.8967,95.5490,0.762242,0.736747,0.787738
55,88.1618,77.7440,98.5797,0.790246,0.757946,0.822547
56,92.0111,83.4923,100.5299,0.775531,0.748313,0.802749
57,84.0637,73.3489,94.7784,0.779716,0.748929,0.810502
58,85.3125,74.4819,96.1430,0.776500,0.749821,0.803180
59,81.1107,71.6339,90.5876,0.793811,0.765483,0.822139
