alpha0,episodio,retorno_medio,td_medio
0.1,0,-107.5460,0.560708
0.1,1,-100.5486,0.582013
0.1,2,-103.0385,0.547862
0.1,3,-91.2213,0.561754
0.1,4,-67.0771,0.595979
0.1,5,-76.1315,0.576375
0.1,6,-53.1702,0.597571
0.1,7,-56.2820,0.581704
0.1,8,-44.0473,0.583118
0.1,9,-33.9936,0.596280
0.1,10,-30.7300,0.601727
0.1,11,-49.6163,0.570853
0.1,12,-31.1262,0.583663
0.1,13,-33.0641,0.583800
0.1,14,-29.8095,0.586599
0.1,15,-5.1939,0.604939
0.1,16,-26.0790,0.589719
0.1,17,-30.6538,0.577185
0.1,18,17.0195,0.631883
0.1,19,-4.8685,0.610298
0.1,20,-14.0630,0.608474
0.1,21,-24.3028,0.577932
0.1,22,-34.0709,0.578263
0.1,23,-3.9305,0.602675
0.1,24,-10.8544,0.603529
0.1,25,0.9503,0.607140
0.1,26,8.5881,0.616345
0.1,27,1.3551,0.612635
0.1,28,0.7595,0.605103
0.1,29,30.2575,0.639009
0.1,30,20.8467,0.623419
0.1,31,62.7971,0.669493
0.1,32,33.2102,0.632959
0.1,33,26.1585,0.622293
0.1,34,11.7492,0.614068
0.1,35,30.3848,0.623845
0.1,36,13.7646,0.614313
0.1,37,38.9588,0.652748
0.1,38,52.4771,0.652911
0.1,39,29.5189,0.630971
0.1,40,51.8750,0.652813
0.1,41,49.4025,0.647643
0.1,42,29.4088,0.628384
0.1,43,57.3688,0.671983
0.1,44,55.0543,0.649189
0.1,45,33.2468,0.628937
0.1,46,44.5596,0.642266
0.1,47,30.5616,0.629993
0.1,48,38.7498,0.644041
0.1,49,62.5323,0.663564
0.1,50,37.8915,0.641708
0.1,51,48.3381,0.658351
0.1,52,50.4859,0.660588
0.1,53,51.1189,0.662928
0.1,54,54.3507,0.661157
0.1,55,38.9060,0.669297
0.1,56,42.9923,0.651405
0.1,57,56.9460,0.659346
0.1,58,42.2372,0.643742
0.1,59,47.0121,0.663435
0.1,60,33.4760,0.638286
0.1,61,60.8322,0.684610
0.1,62,37.7876,0.645934
0.1,63,40.1119,0.654050
0.1,64,62.9449,0.669290
0.1,65,62.0034,0.673455
0.1,66,38.1218,0.651877
0.1,67,52.0256,0.657724
0.1,68,56.3321,0.670915
0.1,69,46.3551,0.646678
0.1,70,50.3348,0.650119
0.1,71,43.0851,0.656282
0.1,72,30.8844,0.658498
0.1,73,54.7144,0.674026
0.1,74,43.6920,0.658295
0.1,75,57.3749,0.680607
0.1,76,61.6865,0.675044
0.1,77,41.3353,0.667008
0.1,78,65.5660,0.678358
0.1,79,69.4558,0.675486
0.1,80,73.9394,0.686298
0.1,81,66.8588,0.686849
0.1,82,57.1646,0.665973
0.1,83,56.9799,0.684456
0.1,84,77.8111,0.698116
0.1,85,68.8582,0.684342
0.1,86,61.9058,0.681961
0.1,87,60.3364,0.687380
0.1,88,45.7240,0.660120
0.1,89,46.6612,0.680313
0.1,90,49.5078,0.678927
0.1,91,75.4530,0.704636
0.1,92,49.0995,0.663297
0.1,93,70.7606,0.701421
0.1,94,69.5855,0.696296
0.1,95,44.4654,0.656705
0.1,96,62.7022,0.670617
0.1,97,71.9569,0.698213
0.1,98,71.4377,0.684400
0.1,99,61.6645,0.684135
0.1,100,50.9871,0.671552
0.1,101,65.6748,0.676651
0.1,102,69.7831,0.682960
0.1,103,75.1027,0.698768
0.1,104,76.9123,0.704072
0.1,105,69.1392,0.693068
0.1,106,61.2211,0.689675
0.1,107,74.0665,0.702432
0.1,108,69.2219,0.698288
0.1,109,88.5884,0.714453
0.1,110,60.7349,0.700736
0.1,111,73.5573,0.703256
0.1,112,63.6689,0.689457
0.1,113,84.2486,0.706483
0.1,114,59.2184,0.674515
0.1,115,60.3218,0.686378
0.1,116,71.7425,0.711261
0.1,117,81.4406,0.692079
0.1,118,82.4802,0.715889
0.1,119,75.6410,0.700647
0.1,120,69.7721,0.700600
0.1,121,70.5980,0.711128
0.1,122,72.7475,0.708181
0.1,123,72.8429,0.709992
0.1,124,65.8880,0.684394
0.1,125,83.4054,0.728239
0.1,126,90.1878,0.716070
0.1,127,74.3617,0.700981
0.1,128,67.4207,0.712042
0.1,129,77.0049,0.704959
0.1,130,60.2934,0.708522
0.1,131,71.7461,0.693776
0.1,132,70.8620,0.706561
0.1,133,85.5416,0.707414
0.1,134,73.3063,0.709716
0.1,135,69.0830,0.699294
0.1,136,63.8935,0.697606
0.1,137,66.7906,0.698857
0.1,138,68.7324,0.694710
0.1,139,78.3688,0.709724
0.1,140,66.9231,0.697748
0.1,141,89.7394,0.714168
0.1,142,87.0713,0.723873
0.1,143,79.4256,0.714836
0.1,144,73.2159,0.686012
0.1,145,76.5398,0.703531
0.1,146,71.1043,0.687472
0.1,147,75.7081,0.714056
0.1,148,72.9531,0.714559
0.1,149,74.6944,0.726866
0.1,150,80.5526,0.711784
0.1,151,77.0486,0.709657
0.1,152,69.7978,0.707323
0.1,153,93.2340,0.705014
0.1,154,83.4392,0.729725
0.1,155,81.2713,0.704712
0.1,156,71.9429,0.699330
0.1,157,68.3532,0.701494
0.1,158,91.6619,0.711089
0.1,159,88.4979,0.692876
0.1,160,80.2838,0.740182
0.1,161,82.2279,0.725627
0.1,162,92.9301,0.715040
0.1,163,83.3629,0.706747
0.1,164,83.5581,0.707928
0.1,165,84.0993,0.715084
0.1,166,73.8062,0.719801
0.1,167,84.0373,0.730295
0.1,168,70.6093,0.709452
0.1,169,77.7297,0.717945
0.1,170,75.4351,0.707985
0.1,171,71.4121,0.728274
0.1,172,82.5199,0.722568
0.1,173,69.7972,0.700997
0.1,174,82.4137,0.706347
0.1,175,78.2857,0.729399
0.1,176,90.9166,0.725403
0.1,177,95.6013,0.716879
0.1,178,83.7882,0.719620
0.1,179,77.6550,0.691488
0.1,180,80.8570,0.742823
0.1,181,90.1093,0.702663
0.1,182,82.1035,0.716656
0.1,183,85.0708,0.725810
0.1,184,68.1778,0.722088
0.1,185,79.1090,0.725749
0.1,186,81.1088,0.734887
0.1,187,84.5284,0.748471
0.1,188,76.7743,0.723115
0.1,189,79.2548,0.721092
0.1,190,71.9223,0.701137
0.1,191,78.9537,0.737555
0.1,192,77.3677,0.716303
0.1,193,93.8555,0.716992
0.1,194,75.8038,0.729973
0.1,195,84.1709,0.719153
0.1,196,71.9764,0.709042
0.1,197,80.0830,0.716635
0.1,198,79.7651,0.716479
0.1,199,77.9883,0.685168
0.1,200,72.8000,0.709645
0.1,201,81.6066,0.720723
0.1,202,91.6174,0.719062
0.1,203,76.8748,0.727022
0.1,204,87.0686,0.720680
0.1,205,87.2996,0.721808
0.1,206,73.0202,0.711500
0.1,207,83.2392,0.720018
0.1,208,84.5026,0.733200
0.1,209,90.3258,0.716414
0.1,210,90.4541,0.730888
0.1,211,89.6393,0.712703
0.1,212,79.6478,0.697900
0.1,213,88.2184,0.721596
0.1,214,81.3402,0.730814
0.1,215,81.4895,0.713857
0.1,216,88.0769,0.720857
0.1,217,93.6043,0.703907
0.1,218,82.1216,0.724334
0.1,219,82.2917,0.739605
0.1,220,78.3731,0.742530
0.1,221,66.7953,0.726758
0.1,222,88.5438,0.721348
0.1,223,83.6902,0.718807
0.1,224,80.7023,0.731059
0.1,225,77.7732,0.731415
0.1,226,75.5591,0.708271
0.1,227,85.6717,0.734721
0.1,228,85.1902,0.733902
0.1,229,84.3010,0.707609
0.1,230,89.7605,0.726152
0.1,231,85.2806,0.735240
0.1,232,83.7715,0.722132
0.1,233,84.9448,0.721923
0.1,234,87.4725,0.733604
0.1,235,83.8484,0.731173
0.1,236,78.0131,0.715580
0.1,237,82.9927,0.726283
0.1,238,83.4664,0.717693
0.1,239,84.7649,0.714452
0.1,240,70.3325,0.728264
0.1,241,86.5758,0.732040
0.1,242,78.8847,0.731743
0.1,243,82.8221,0.711026
0.1,244,83.9733,0.727874
0.1,245,87.8353,0.734468
0.1,246,85.2526,0.728376
0.1,247,84.6880,0.733396
0.1,248,87.3667,0.726100
0.1,249,88.3975,0.723729
0.1,250,85.0497,0.715426
0.1,251,88.2083,0.744501
0.1,252,82.8743,0.710888
0.1,253,98.5256,0.716393
0.1,254,82.4256,0.736972
0.1,255,81.4536,0.721841
0.1,256,90.9638,0.734727
0.1,257,73.5415,0.729517
0.1,258,86.7055,0.716756
0.1,259,91.8073,0.710374
0.1,260,85.0408,0.720884
0.1,261,85.2482,0.705189
0.1,262,87.9441,0.724857
0.1,263,84.7172,0.716214
0.1,264,87.4219,0.731535
0.1,265,80.0525,0.741203
0.1,266,90.2361,0.728669
0.1,267,90.1205,0.728318
0.1,268,90.6441,0.722181
0.1,269,76.1991,0.731738
0.1,270,81.8501,0.743401
0.1,271,80.7878,0.731036
0.1,272,94.7424,0.722553
0.1,273,71.8704,0.712649
0.1,274,93.2405,0.721668
0.1,275,92.2848,0.735378
0.1,276,94.7701,0.723467
0.1,277,87.9550,0.736385
0.1,278,84.4700,0.718651
0.1,279,91.9742,0.720376
0.1,280,84.9633,0.740694
0.1,281,81.0633,0.718041
0.1,282,86.2034,0.732562
0.1,283,84.5931,0.707274
0.1,284,81.9986,0.732557
0.1,285,76.9773,0.729016
0.1,286,77.1887,0.739721
0.1,287,91.6490,0.748488
0.1,288,89.8161,0.718385
0.1,289,76.8439,0.738746
0.1,290,93.4161,0.727803
0.1,291,85.5326,0.738646
0.1,292,81.5438,0.744628
0.1,293,90.1027,0.728854
0.1,294,79.5263,0.740171
0.1,295,88.5934,0.744349
0.1,296,99.6318,0.719323
0.1,297,74.0451,0.720452
0.1,298,84.2618,0.716011
0.1,299,85.9527,0.733140
0.1,300,91.1976,0.720539
0.1,301,88.3250,0.720871
0.1,302,87.6834,0.710563
0.1,303,88.0296,0.738151
0.1,304,85.7419,0.739724
0.1,305,92.2373,0.727280
0.1,306,86.4798,0.725435
0.1,307,93.0127,0.733323
0.1,308,90.2691,0.730028
0.1,309,85.6709,0.761328
0.1,310,93.6364,0.719483
0.1,311,78.3501,0.739812
0.1,312,89.0842,0.725402
0.1,313,89.7782,0.717037
0.1,314,88.1002,0.741113
0.1,315,86.8680,0.717052
0.1,316,91.5897,0.732198
0.1,317,90.3558,0.731554
0.1,318,89.9407,0.723727
0.1,319,90.8560,0.730313
0.1,320,89.0298,0.724754
0.1,321,81.3750,0.726808
0.1,322,81.6485,0.743429
0.1,323,82.3303,0.729008
0.1,324,100.8446,0.729390
0.1,325,90.2702,0.757275
0.1,326,90.8281,0.713988
0.1,327,79.7854,0.716200
0.1,328,85.0620,0.712465
0.1,329,81.7328,0.719992
0.1,330,83.4188,0.738385
0.1,331,76.2650,0.726706
0.1,332,85.5348,0.744204
