pais,desde,hacia,arista,relacion
ES,A1,E1,dirigida,cruzada
ES,A2,E1,dirigida,cruzada
ES,A3,E1,dirigida,cruzada
ES,E1,E1,dirigida,persistencia
ES,E7,E1,dirigida,cruzada
ES,A1,E3,dirigida,cruzada
ES,A3,E3,dirigida,cruzada
ES,E1,E3,dirigida,cruzada
ES,E3,E3,dirigida,persistencia
ES,E5,E3,dirigida,cruzada
ES,E6,E3,dirigida,cruzada
ES,E5,E5,dirigida,persistencia
ES,E7,E5,dirigida,cruzada
ES,A1,E7,dirigida,cruzada
ES,A2,E7,dirigida,cruzada
ES,A4,E7,dirigida,cruzada
ES,E3,E7,dirigida,cruzada
ES,E4,E7,dirigida,cruzada
ES,E5,E7,dirigida,cruzada
ES,E7,E7,dirigida,persistencia
GB,A2,E1,dirigida,cruzada
GB,E1,E1,dirigida,persistencia
GB,E3,E1,dirigida,cruzada
GB,E5,E1,dirigida,cruzada
GB,E7,E1,sin_direccion,cruzada
GB,A2,E3,dirigida,cruzada
GB,E1,E3,dirigida,cruzada
GB,E3,E3,dirigida,persistencia
GB,E7,E3,dirigida,cruzada
GB,A2,E5,dirigida,cruzada
GB,E1,E5,dirigida,cruzada
GB,E3,E5,dirigida,cruzada
GB,E5,E5,dirigida,persistencia
GB,A4,E7,dirigida,cruzada
GB,E7,E7,sin_direccion,persistencia
BR,E1,E1,dirigida,persistencia
BR,E3,E1,dirigida,cruzada
BR,E7,E1,dirigida,cruzada
BR,A3,E3,dirigida,cruzada
BR,E1,E3,dirigida,cruzada
BR,E3,E3,dirigida,persistencia
BR,A1,E5,dirigida,cruzada
BR,A2,E5,dirigida,cruzada
BR,E1,E5,dirigida,cruzada
BR,E5,E5,dirigida,persistencia
BR,A1,E7,dirigida,cruzada
BR,A2,E7,dirigida,cruzada
BR,A4,E7,dirigida,cruzada
BR,E1,E7,dirigida,cruzada
BR,E3,E7,dirigida,cruzada
BR,E5,E7,dirigida,cruzada
BR,E7,E7,dirigida,persistencia
