pais,desde,hacia,tipo
ES,E2,E1,dirigida
ES,E3,E1,dirigida
ES,E7,E1,dirigida
ES,A1,E1,dirigida
ES,A3,E1,dirigida
ES,E4,E3,dirigida
ES,E5,E3,dirigida
ES,E3,E7,dirigida
ES,A2,E3,dirigida
ES,A3,E3,dirigida
ES,E6,E5,dirigida
ES,E5,E7,dirigida
ES,A1,E5,dirigida
ES,E5,A4,dirigida
ES,A1,E7,dirigida
ES,A2,E7,dirigida
ES,E7,A4,dirigida
ES,A1,A3,sin_direccion
ES,A2,A3,sin_direccion
ES,A2,A4,dirigida
ES,A3,A4,dirigida
GB,E2,E1,dirigida
GB,E3,E1,dirigida
GB,E5,E1,dirigida
GB,A2,E1,dirigida
GB,E4,E3,dirigida
GB,E7,E3,dirigida
GB,E3,A2,dirigida
GB,A4,E3,dirigida
GB,E4,A2,dirigida
GB,E6,E5,dirigida
GB,E7,E5,dirigida
GB,A1,E5,dirigida
GB,E5,A2,dirigida
GB,E5,A4,dirigida
GB,E7,A4,dirigida
GB,A1,A4,dirigida
GB,A4,A2,dirigida
BR,E2,E1,dirigida
BR,E3,E1,dirigida
BR,E4,E1,dirigida
BR,E5,E1,dirigida
BR,E7,E1,dirigida
BR,A4,E1,dirigida
BR,E4,E3,dirigida
BR,E3,E5,dirigida
BR,E7,E3,dirigida
BR,E3,A3,dirigida
BR,E4,E5,dirigida
BR,E4,A3,dirigida
BR,E7,E5,dirigida
BR,A1,E5,dirigida
BR,A2,E5,dirigida
BR,E5,A3,dirigida
BR,A1,E7,dirigida
BR,A2,E7,dirigida
BR,E7,A3,dirigida
BR,E7,A4,sin_direccion
BR,A1,A3,dirigida
BR,A1,A4,dirigida
BR,A2,A3,dirigida
BR,A2,A4,dirigida
BR,A4,A3,dirigida
