pais,desde,hacia,peso_directo,peso_incremental
ES,E2,E1,0.039,-0.131
ES,E3,E1,0.07,0.033
ES,E3,E7,-0.151,-0.006
ES,E4,E3,0.102,-0.129
ES,E5,E3,0.126,0.078
ES,E5,E7,0.53,0.018
ES,E6,E5,0.092,0.005
ES,E7,E1,-0.152,-0.115
ES,A1,E1,0.209,0.153
ES,A1,E5,0.709,0.007
ES,A1,E7,-0.268,-0.013
ES,A2,E3,-0.358,-0.185
ES,A2,E7,0.47,0.013
ES,A3,E1,-0.235,-0.167
ES,A3,E3,0.39,0.201
GB,E2,E1,0.039,-0.093
GB,E3,E1,0.171,0.122
GB,E4,E3,0.047,-0.259
GB,E5,E1,0.218,0.179
GB,E6,E5,0.109,-0.002
GB,E7,E3,-0.369,-0.108
GB,E7,E5,0.327,0.008
GB,A1,E5,0.716,-0.014
GB,A2,E1,-0.308,-0.251
GB,A4,E3,0.33,0.085
BR,E2,E1,0.11,-0.058
BR,E3,E1,0.258,0.178
BR,E3,E5,0.306,0.016
BR,E4,E1,-0.094,-0.061
BR,E4,E3,0.042,-0.277
BR,E4,E5,-0.139,-0.001
BR,E5,E1,-0.216,-0.155
BR,E7,E1,-0.188,-0.12
BR,E7,E3,-0.35,-0.066
BR,E7,E5,0.472,-0.002
BR,A1,E5,0.405,-0.005
BR,A1,E7,-0.155,-0.005
BR,A2,E5,0.242,0.014
BR,A2,E7,0.777,0.04
BR,A4,E1,0.058,0.031
BR,A4,E7,-0.1,-0.003
