semilla,version,contagio,hospital,coste,pct_bajo,retorno
3000,V1,0.3432,0.5146,5.0184,58.0731,291.6074
3000,V2,0.3051,0.4622,6.0336,93.7078,50.6261
3000,V3,0.3431,0.5146,5.0734,57.8082,289.7304
3000,V4,0.2946,0.4433,6.2768,93.7717,6.8412
3001,V1,0.3427,0.5135,5.0763,52.7397,296.3473
3001,V2,0.3317,0.4967,5.6416,69.2237,79.5316
3001,V3,0.3399,0.5100,5.1399,55.5982,291.8455
3001,V4,0.3191,0.4790,6.0913,79.2511,23.6709
3002,V1,0.3463,0.5177,5.0317,56.8584,287.1993
3002,V2,0.3136,0.4734,5.6503,88.8311,76.3409
3002,V3,0.3455,0.5211,5.0888,57.7443,288.0424
3002,V4,0.3372,0.5051,5.6705,70.7945,74.2822
3003,V1,0.3400,0.5091,5.1023,56.0274,293.7435
3003,V2,0.3043,0.4569,6.0842,90.4018,25.1735
3003,V3,0.3394,0.5081,5.1510,56.4840,286.7457
3003,V4,0.3011,0.4557,6.1469,93.3973,26.8049
3004,V1,0.3431,0.5157,5.0853,57.4064,285.8734
3004,V2,0.3359,0.5022,5.6170,68.4658,101.8727
3004,V3,0.3426,0.5138,5.0770,57.8356,293.6034
3004,V4,0.3337,0.5017,5.8177,70.8676,70.2306
3005,V1,0.3427,0.5136,5.0666,57.0594,292.7925
3005,V2,0.3371,0.5065,5.6860,64.5023,77.7227
3005,V3,0.3416,0.5113,5.1046,57.1872,290.1098
3005,V4,0.2961,0.4490,6.3687,92.8676,-16.4852
3006,V1,0.3508,0.5275,4.9043,57.5160,303.5208
3006,V2,0.3087,0.4628,6.0121,90.1279,36.1470
3006,V3,0.3498,0.5247,5.0228,58.0822,295.5786
3006,V4,0.3091,0.4646,6.2944,90.9954,-14.1260
3007,V1,0.3426,0.5156,5.0585,56.9680,282.9037
3007,V2,0.3220,0.4821,5.7819,81.8356,69.3081
3007,V3,0.3414,0.5114,5.1335,57.7078,285.0426
3007,V4,0.2956,0.4467,6.2974,90.1553,-18.5280
3008,V1,0.3413,0.5102,4.9695,59.7169,302.0699
3008,V2,0.2940,0.4462,6.1142,90.4292,20.5747
3008,V3,0.3422,0.5123,5.1153,57.5799,290.0707
3008,V4,0.3152,0.4758,5.9611,85.0411,42.2685
3009,V1,0.3385,0.5072,5.0594,57.2877,285.0644
3009,V2,0.3350,0.5053,5.7706,62.3014,27.8642
3009,V3,0.3375,0.5075,5.1607,57.4247,280.4169
3009,V4,0.3055,0.4636,6.1579,86.9132,10.3899
