semilla,version,contagio,hospital,coste,pct_bajo,retorno
3000,V1,0.3435,0.5166,5.0687,57.5434,285.4952
3000,V2,0.3002,0.4536,5.6021,92.6027,75.3856
3000,V3,0.3430,0.5161,5.0550,57.5982,290.8334
3000,V4,0.3416,0.5152,5.1046,66.8037,50.4767
3001,V1,0.3424,0.5149,5.0820,52.7215,294.0451
3001,V2,0.3091,0.4638,5.6170,84.3014,64.1090
3001,V3,0.3399,0.5093,5.0736,56.0183,298.9758
3001,V4,0.3130,0.4733,5.4585,82.7397,60.4254
3002,V1,0.3461,0.5166,5.0198,56.8584,293.3377
3002,V2,0.3181,0.4804,5.2314,83.6986,118.9496
3002,V3,0.3445,0.5142,5.0465,58.1918,292.8941
3002,V4,0.3317,0.4966,5.1598,76.7032,75.8281
3003,V1,0.3406,0.5087,5.1089,56.1553,292.9365
3003,V2,0.3245,0.4887,5.1245,75.8174,94.0196
3003,V3,0.3411,0.5120,5.1017,54.4658,291.2213
3003,V4,0.3414,0.5133,4.9329,63.5160,56.2485
3004,V1,0.3433,0.5162,5.0563,57.4338,291.0680
3004,V2,0.3163,0.4753,5.1076,87.0320,116.9411
3004,V3,0.3432,0.5155,5.0416,57.5434,293.5633
3004,V4,0.3453,0.5193,5.0193,62.9498,67.8264
3005,V1,0.3428,0.5136,5.0782,56.7306,294.4499
3005,V2,0.3188,0.4784,5.4654,84.6575,64.1484
3005,V3,0.3417,0.5126,5.0695,57.2237,287.4314
3005,V4,0.3123,0.4684,5.4811,84.2374,56.1655
3006,V1,0.3505,0.5254,4.9099,57.6073,300.7957
3006,V2,0.3291,0.4942,5.2888,83.0411,118.5963
3006,V3,0.3519,0.5249,4.9418,55.2420,304.2154
3006,V4,0.3376,0.5040,5.1415,74.9132,97.2447
3007,V1,0.3421,0.5117,5.0246,57.3151,291.0567
3007,V2,0.3089,0.4650,5.5025,89.9452,83.1792
3007,V3,0.3418,0.5102,5.0791,56.8858,292.8921
3007,V4,0.3387,0.5067,5.1252,67.3699,93.4578
3008,V1,0.3416,0.5115,4.9750,59.5525,299.3304
3008,V2,0.3136,0.4746,5.4459,84.5571,84.0022
3008,V3,0.3424,0.5152,5.0689,57.0320,291.8724
3008,V4,0.3217,0.4859,5.3317,77.6073,35.3373
3009,V1,0.3380,0.5074,5.0746,56.9406,281.6633
3009,V2,0.3169,0.4758,5.2795,82.5297,119.7146
3009,V3,0.3382,0.5062,5.0836,57.4429,279.4171
3009,V4,0.3686,0.5528,4.7796,40.0548,-23.5484
3010,V1,0.3407,0.5105,5.1046,54.5388,291.5373
3010,V2,0.3126,0.4706,5.3279,83.7991,93.5958
3010,V3,0.3417,0.5138,5.0769,53.2329,294.7705
3010,V4,0.3472,0.5215,4.9765,58.8584,61.1121
3011,V1,0.3433,0.5154,5.0167,55.9635,295.9919
3011,V2,0.3102,0.4671,5.3569,91.6530,77.1775
3011,V3,0.3436,0.5153,5.0103,56.4201,294.6670
3011,V4,0.3288,0.4917,4.9711,78.9406,112.7380
3012,V1,0.3496,0.5236,4.9195,58.2831,299.7707
3012,V2,0.3320,0.4969,5.1637,82.5845,114.8603
3012,V3,0.3497,0.5229,4.9171,57.5799,299.3806
3012,V4,0.3400,0.5074,4.9878,77.5708,126.4150
3013,V1,0.3445,0.5177,5.0429,57.1233,296.3567
3013,V2,0.3234,0.4882,5.4265,81.8356,80.5963
3013,V3,0.3448,0.5175,5.0363,56.9589,294.2555
3013,V4,0.3408,0.5113,4.9531,71.4703,116.3939
3014,V1,0.3422,0.5140,5.0383,56.9863,291.4372
3014,V2,0.3169,0.4777,5.4201,83.5799,87.0311
