semilla,version,contagio,hospital,coste,pct_bajo,retorno
3000,V1,0.3429,0.5159,5.0523,58.0457,288.9029
3000,V2,0.2925,0.4446,5.7868,95.2237,54.1750
3000,V3,0.3435,0.5168,5.0558,57.2237,292.1988
3000,V4,0.3278,0.4945,5.3958,78.7123,50.2663
3001,V1,0.3425,0.5118,5.0831,52.7580,299.0008
3001,V2,0.3091,0.4639,5.6192,85.5251,68.0931
3001,V3,0.3407,0.5092,5.0768,55.3973,297.9471
3001,V4,0.3150,0.4730,5.6096,85.2511,46.3054
3002,V1,0.3461,0.5193,5.0064,57.3242,290.7798
3002,V2,0.3084,0.4652,5.5585,88.2922,89.7425
3002,V3,0.3460,0.5191,4.9444,57.3333,302.1521
3002,V4,0.3288,0.4946,5.2273,82.1461,85.8629
3003,V1,0.3402,0.5105,5.1001,56.1553,291.3770
3003,V2,0.3057,0.4614,5.6584,87.0320,68.1860
3003,V3,0.3403,0.5106,5.0699,55.9817,293.5161
3003,V4,0.2938,0.4448,5.8526,87.5616,34.3614
3004,V1,0.3434,0.5149,5.0742,56.9224,294.8712
3004,V2,0.3091,0.4660,5.3417,90.8767,94.8625
3004,V3,0.3436,0.5152,4.9980,56.6027,301.7584
3004,V4,0.3367,0.5056,5.2643,73.3425,76.6903
3005,V1,0.3429,0.5142,5.0748,57.3333,289.8592
3005,V2,0.3128,0.4710,5.5956,88.2922,50.1802
3005,V3,0.3424,0.5136,5.0093,57.3151,292.1868
3005,V4,0.3248,0.4889,5.2690,80.4749,60.2766
3006,V1,0.3510,0.5246,4.9086,57.1598,300.3913
3006,V2,0.3149,0.4730,5.7428,88.7671,76.2326
3006,V3,0.3501,0.5232,4.9077,57.7169,306.8943
3006,V4,0.3442,0.5150,5.0121,69.7078,109.9160
3007,V1,0.3426,0.5105,5.0213,57.0228,291.6457
3007,V2,0.3048,0.4561,5.5458,90.9863,81.6581
3007,V3,0.3414,0.5086,4.9605,58.2740,307.6609
3007,V4,0.3383,0.5043,5.1685,68.7580,99.3144
3008,V1,0.3415,0.5081,4.9678,58.9772,305.9194
3008,V2,0.2842,0.4262,5.9745,95.2785,63.7335
3008,V3,0.3431,0.5105,4.9858,56.6575,305.3792
3008,V4,0.3280,0.4894,5.2707,78.7397,71.0288
3009,V1,0.3386,0.5063,5.0796,56.7671,282.5768
3009,V2,0.3037,0.4562,5.7574,88.5571,76.2570
3009,V3,0.3374,0.5045,5.1101,57.5982,287.8458
3009,V4,0.3222,0.4836,5.4427,77.2694,44.9314
3010,V1,0.3411,0.5125,5.0779,54.6575,288.3645
3010,V2,0.2958,0.4481,5.8774,91.0228,42.6581
3010,V3,0.3395,0.5101,5.0344,55.4795,299.1936
3010,V4,0.3173,0.4785,5.7005,80.6301,40.2021
3011,V1,0.3434,0.5161,5.0142,55.8630,293.6764
3011,V2,0.3046,0.4609,5.5027,93.1781,62.2769
3011,V3,0.3419,0.5140,5.0866,56.8402,289.7250
3011,V4,0.3201,0.4829,5.5706,84.7123,49.6908
3012,V1,0.3502,0.5242,4.9139,57.8539,301.5668
3012,V2,0.3163,0.4760,5.5003,90.7032,69.3659
3012,V3,0.3496,0.5232,4.9551,57.4338,307.9951
3012,V4,0.3314,0.4973,5.2783,83.4612,100.7674
3013,V1,0.3451,0.5195,5.0658,56.7763,295.7139
3013,V2,0.3212,0.4850,5.5307,83.5799,75.3849
3013,V3,0.3470,0.5223,4.9494,55.8265,288.3979
3013,V4,0.3340,0.5042,5.3506,79.9543,60.7015
3014,V1,0.3430,0.5109,5.0308,56.2100,297.2157
3014,V2,0.3076,0.4604,5.6409,88.8493,77.2009
3014,V3,0.3427,0.5105,4.9959,56.6210,299.0154
3014,V4,0.3281,0.4900,5.2868,79.1142,76.5290
3015,V1,0.3393,0.5090,5.0397,58.4292,292.4484
3015,V2,0.2988,0.4513,5.6240,93.7169,70.4925
3015,V3,0.3405,0.5106,5.0387,55.5342,287.9800
3015,V4,0.3264,0.4910,5.3993,77.8447,63.7250
3016,V1,0.3454,0.5171,5.0149,56.2374,298.3036
3016,V2,0.3177,0.4776,5.3585,82.7854,85.8106
3016,V3,0.3445,0.5157,5.0153,56.1370,302.2581
3016,V4,0.3270,0.4913,5.3886,81.2877,62.5515
3017,V1,0.3413,0.5110,5.0702,55.2420,294.9492
3017,V2,0.3012,0.4534,5.7314,90.1096,53.0108
3017,V3,0.3414,0.5110,5.0388,54.3379,295.7085
3017,V4,0.3334,0.5000,5.2711,70.7580,63.9033
3018,V1,0.3396,0.5100,5.1017,55.8082,282.3289
3018,V2,0.2948,0.4467,5.7813,88.4932,56.3805
3018,V3,0.3399,0.5106,5.0901,53.8904,290.0402
3018,V4,0.3237,0.4880,5.3237,77.7352,69.0197
3019,V1,0.3432,0.5119,5.0307,57.6530,286.6840
3019,V2,0.3286,0.4912,5.3783,77.9635,80.8348
3019,V3,0.3436,0.5125,5.0391,56.8219,297.4357
3019,V4,0.3163,0.4737,5.4521,84.9589,67.6636
3020,V1,0.3460,0.5187,4.9609,61.3059,292.1172
3020,V2,0.3246,0.4884,5.4093,83.7443,84.1257
3020,V3,0.3456,0.5182,4.9229,61.0776,302.8129
3020,V4,0.3395,0.5096,5.2119,75.6712,75.4435
3021,V1,0.3429,0.5153,5.0443,56.7123,291.3780
3021,V2,0.3146,0.4752,5.5306,85.7078,63.0362
3021,V3,0.3403,0.5114,4.9987,58.6393,291.8333
3021,V4,0.2958,0.4484,5.7493,91.1781,16.6676
3022,V1,0.3477,0.5232,4.9601,57.0594,303.2441
3022,V2,0.3201,0.4841,5.4161,87.2968,80.2824
3022,V3,0.3472,0.5225,4.9946,57.7808,296.8977
3022,V4,0.3288,0.4969,5.3769,83.1324,57.9100
3023,V1,0.3438,0.5153,4.9829,62.1187,288.1291
3023,V2,0.2950,0.4455,5.7687,95.9269,58.2368
3023,V3,0.3439,0.5154,4.9826,61.6986,296.0111
3023,V4,0.3134,0.4724,5.6635,88.4018,38.9821
3024,V1,0.3402,0.5104,5.0673,55.6804,289.6789
3024,V2,0.3222,0.4845,5.3590,77.6895,72.0169
3024,V3,0.3385,0.5078,5.1100,56.6210,296.3439
3024,V4,0.3241,0.4875,5.3806,75.5160,51.2631
3025,V1,0.3418,0.5121,5.0819,55.8813,289.9484
3025,V2,0.2906,0.4389,5.8862,93.7443,55.2918
3025,V3,0.3409,0.5108,5.0706,56.2192,293.6875
3025,V4,0.3209,0.4831,5.5349,79.9635,33.8242
3026,V1,0.3460,0.5189,5.0408,57.4703,294.0044
3026,V2,0.3118,0.4703,5.3673,89.6256,99.6346
3026,V3,0.3463,0.5193,4.9564,57.0959,305.3819
3026,V4,0.3306,0.4973,5.3723,80.3288,72.7697
3027,V1,0.3420,0.5154,5.0598,57.0594,286.3997
3027,V2,0.3148,0.4767,5.5567,84.8858,58.2438
3027,V3,0.3417,0.5149,5.0869,56.9680,287.7788
3027,V4,0.3264,0.4940,5.2741,77.7900,28.8087
3028,V1,0.3478,0.5222,4.9838,57.3151,302.5387
3028,V2,0.3012,0.4558,5.7458,92.2009,66.1717
3028,V3,0.3489,0.5238,4.9707,56.0091,300.9429
3028,V4,0.3169,0.4779,5.3284,88.0731,74.3037
3029,V1,0.3448,0.5174,5.0531,57.3333,290.9017
3029,V2,0.3259,0.4904,5.4508,78.7854,71.8282
3029,V3,0.3447,0.5173,5.0675,57.1233,296.6533
3029,V4,0.3297,0.4964,5.3664,76.1370,46.6881
