semilla,version,contagio,hospital,coste,pct_bajo,retorno
3000,V1,0.3429,0.5159,5.0523,58.0457,288.9029
3000,V2,0.3134,0.4742,5.9474,90.2374,53.3515
3000,V3,0.3430,0.5160,5.0825,58.2100,286.2520
3000,V4,0.2913,0.4429,6.4084,93.4612,0.0883
3001,V1,0.3425,0.5118,5.0831,52.7580,299.0008
3001,V2,0.3325,0.4976,5.6281,69.5799,88.2443
3001,V3,0.3403,0.5086,5.1292,56.2192,295.4958
3001,V4,0.3171,0.4756,5.9900,75.3973,2.5533
3002,V1,0.3461,0.5193,5.0064,57.3242,290.7798
3002,V2,0.3198,0.4819,5.6058,85.5616,82.1954
3002,V3,0.3455,0.5183,5.0732,57.3790,293.4066
3002,V4,0.2966,0.4484,6.3648,94.3288,-13.7451
3003,V1,0.3402,0.5105,5.1001,56.1553,291.3770
3003,V2,0.3072,0.4634,6.0548,88.9041,18.7378
3003,V3,0.3402,0.5105,5.1184,56.4840,283.6284
3003,V4,0.3356,0.5039,5.7828,60.8950,63.9696
3004,V1,0.3434,0.5149,5.0742,56.9224,294.8712
3004,V2,0.3370,0.5057,5.6086,67.7534,97.4714
3004,V3,0.3429,0.5141,5.0979,57.1781,296.3140
3004,V4,0.3224,0.4846,6.0565,77.3151,5.0653
3005,V1,0.3429,0.5142,5.0748,57.3333,289.8592
3005,V2,0.3382,0.5076,5.6857,61.7169,63.7400
3005,V3,0.3416,0.5123,5.1111,56.9772,289.9976
3005,V4,0.3105,0.4678,6.0855,87.6895,15.2910
3006,V1,0.3510,0.5246,4.9086,57.1598,300.3913
3006,V2,0.3108,0.4671,6.0039,87.9178,31.0739
3006,V3,0.3493,0.5220,5.0323,58.0913,294.2873
3006,V4,0.3065,0.4605,6.1637,88.1644,10.4508
3007,V1,0.3426,0.5105,5.0213,57.0228,291.6457
3007,V2,0.3268,0.4878,5.7299,77.8356,72.9349
3007,V3,0.3416,0.5090,5.1210,57.3881,290.6448
3007,V4,0.3187,0.4761,5.9401,80.6758,47.7510
3008,V1,0.3415,0.5081,4.9678,58.9772,305.9194
3008,V2,0.2930,0.4394,6.0892,91.1050,24.9935
3008,V3,0.3417,0.5083,5.0902,57.0868,295.7236
3008,V4,0.3095,0.4623,6.0341,85.6438,36.0474
3009,V1,0.3386,0.5063,5.0796,56.7671,282.5768
3009,V2,0.3344,0.5006,5.7744,62.3562,36.3333
3009,V3,0.3377,0.5049,5.1306,57.0411,286.4831
3009,V4,0.3362,0.5030,5.7562,59.5982,55.6353
3010,V1,0.3411,0.5125,5.0779,54.6575,288.3645
3010,V2,0.2673,0.4078,6.4021,94.8128,5.0302
3010,V3,0.3396,0.5104,5.1500,56.0457,288.4013
3010,V4,0.3243,0.4885,5.8292,73.9543,29.3770
3011,V1,0.3434,0.5161,5.0142,55.8630,293.6764
3011,V2,0.3026,0.4580,6.0154,87.7443,11.4515
3011,V3,0.3416,0.5136,5.1165,56.8493,286.9196
3011,V4,0.2923,0.4433,6.3250,92.4292,5.3607
3012,V1,0.3502,0.5242,4.9139,57.8539,301.5668
3012,V2,0.3264,0.4901,5.8228,83.4886,40.7579
3012,V3,0.3491,0.5226,4.9902,57.9452,300.3310
3012,V4,0.3161,0.4756,6.0024,86.0274,15.6871
3013,V1,0.3451,0.5195,5.0658,56.7763,295.7139
3013,V2,0.3340,0.5037,5.7805,73.3881,49.4810
3013,V3,0.3451,0.5196,5.1034,56.7945,292.9020
3013,V4,0.3394,0.5116,5.6614,64.6941,56.3535
3014,V1,0.3430,0.5109,5.0308,56.2100,297.2157
3014,V2,0.2871,0.4316,6.2097,94.6301,15.2744
3014,V3,0.3416,0.5090,5.1095,57.1598,294.9567
3014,V4,0.3137,0.4691,5.9823,87.8265,43.3595
3015,V1,0.3393,0.5090,5.0397,58.4292,292.4484
3015,V2,0.2980,0.4503,6.2315,93.3151,6.9913
3015,V3,0.3389,0.5083,5.1800,56.6301,282.1959
3015,V4,0.3084,0.4651,6.1763,83.5890,-11.6380
3016,V1,0.3454,0.5171,5.0149,56.2374,298.3036
3016,V2,0.3472,0.5196,5.5489,51.6986,65.7988
3016,V3,0.3441,0.5151,5.0647,56.4566,300.4554
3016,V4,0.3067,0.4618,6.1998,89.2329,4.9323
3017,V1,0.3413,0.5110,5.0702,55.2420,294.9492
3017,V2,0.2931,0.4418,6.2418,89.6347,5.2832
3017,V3,0.3397,0.5086,5.1583,56.3379,289.0531
3017,V4,0.3063,0.4610,6.1388,85.5342,-5.2046
3018,V1,0.3396,0.5100,5.1017,55.8082,282.3289
3018,V2,0.2845,0.4317,6.2616,93.5342,5.0187
3018,V3,0.3372,0.5066,5.1879,57.3333,282.5852
3018,V4,0.3037,0.4590,6.1970,85.3425,-10.0298
3019,V1,0.3432,0.5119,5.0307,57.6530,286.6840
3019,V2,0.2971,0.4468,6.1528,90.1187,-3.5549
3019,V3,0.3418,0.5099,5.1124,58.5753,283.8946
3019,V4,0.3033,0.4556,6.2107,88.3470,-8.6709
3020,V1,0.3460,0.5187,4.9609,61.3059,292.1172
3020,V2,0.3434,0.5153,5.6211,69.3973,74.6453
3020,V3,0.3481,0.5217,5.0241,57.9178,293.2588
3020,V4,0.3031,0.4578,6.2317,92.5205,4.5400
3021,V1,0.3429,0.5153,5.0443,56.7123,291.3780
3021,V2,0.2811,0.4272,6.4743,95.6712,-15.2084
3021,V3,0.3419,0.5138,5.1105,56.6484,291.0344
3021,V4,0.3306,0.4980,5.7555,70.5479,68.0927
3022,V1,0.3477,0.5232,4.9601,57.0594,303.2441
3022,V2,0.2877,0.4375,6.3434,93.1963,2.7846
3022,V3,0.3465,0.5214,5.0420,57.6438,290.7071
3022,V4,0.3122,0.4727,6.0432,85.3242,13.9454
3023,V1,0.3438,0.5153,4.9829,62.1187,288.1291
3023,V2,0.3267,0.4908,5.8192,83.3881,59.2962
3023,V3,0.3458,0.5181,5.0919,58.5297,287.3752
3023,V4,0.3414,0.5119,5.7011,66.5388,47.7402
3024,V1,0.3402,0.5104,5.0673,55.6804,289.6789
3024,V2,0.3319,0.4987,5.6745,64.7489,74.4792
3024,V3,0.3384,0.5076,5.1758,56.3744,288.2639
3024,V4,0.2938,0.4438,6.2850,91.8447,7.0030
3025,V1,0.3418,0.5121,5.0819,55.8813,289.9484
3025,V2,0.3351,0.5027,5.6911,67.3699,65.9492
3025,V3,0.3406,0.5104,5.1405,56.5753,290.3527
3025,V4,0.3008,0.4538,6.2801,90.9406,21.6361
3026,V1,0.3460,0.5189,5.0408,57.4703,294.0044
3026,V2,0.3113,0.4699,6.0331,91.2237,38.7445
3026,V3,0.3454,0.5180,5.0747,57.6621,292.0876
3026,V4,0.3091,0.4664,6.1701,89.4612,3.4063
3027,V1,0.3420,0.5154,5.0598,57.0594,286.3997
3027,V2,0.3332,0.5030,5.6268,71.3881,72.9633
3027,V3,0.3413,0.5144,5.1299,57.4429,283.5842
3027,V4,0.3424,0.5160,5.6697,57.8904,61.4682
3028,V1,0.3478,0.5222,4.9838,57.3151,302.5387
3028,V2,0.3493,0.5243,5.4609,56.2009,64.6917
3028,V3,0.3480,0.5224,5.0126,57.3333,299.7570
3028,V4,0.3000,0.4540,6.1526,91.3790,18.5861
3029,V1,0.3448,0.5174,5.0531,57.3333,290.9017
3029,V2,0.3318,0.4988,5.7349,70.1826,57.2085
3029,V3,0.3448,0.5174,5.0990,56.7945,287.2162
3029,V4,0.3030,0.4582,6.1719,90.5023,-2.4963
