semilla,version,contagio,hospital,coste,pct_bajo,retorno
3000,V1,0.3434,0.5151,5.0467,57.5251,285.9677
3000,V2,0.1958,0.3044,7.2313,98.5845,-46.8210
3000,V3,0.3374,0.5063,5.0531,62.3379,288.4310
3000,V4,0.1657,0.2619,7.7258,98.9589,-100.4872
3001,V1,0.3427,0.5135,5.0763,52.7397,296.3473
3001,V2,0.2211,0.3385,6.6258,99.0776,-21.2866
3001,V3,0.3394,0.5092,5.1041,56.4384,292.7804
3001,V4,0.1855,0.2881,7.5292,98.7763,-101.1765
3002,V1,0.3460,0.5161,5.0130,57.3790,289.5985
3002,V2,0.2090,0.3229,6.8474,98.9772,-25.3019
3002,V3,0.3432,0.5164,5.0580,58.5023,292.4515
3002,V4,0.1747,0.2751,7.5983,98.8128,-87.7977
3003,V1,0.3400,0.5091,5.1023,56.0274,293.7435
3003,V2,0.2149,0.3291,7.0336,98.9132,-65.8295
3003,V3,0.3304,0.4950,5.1558,65.3607,269.5925
3003,V4,0.1781,0.2797,7.5616,99.0137,-105.9506
3004,V1,0.3434,0.5142,5.0701,56.8676,293.9813
3004,V2,0.2025,0.3128,7.0223,98.8311,-31.4100
3004,V3,0.3425,0.5138,5.0584,57.6347,289.3584
3004,V4,0.1945,0.3012,7.2118,98.8402,-76.6234
3005,V1,0.3429,0.5120,5.0621,56.7306,297.6143
3005,V2,0.2059,0.3171,7.0478,99.1142,-39.2626
3005,V3,0.3414,0.5094,5.0440,57.6895,292.8619
3005,V4,0.1642,0.2577,8.0016,99.0046,-121.6981
3006,V1,0.3508,0.5275,4.9043,57.5160,303.5208
3006,V2,0.2239,0.3416,6.9048,98.9406,-55.7725
3006,V3,0.3405,0.5113,4.9811,66.0457,286.6446
3006,V4,0.1535,0.2419,8.1072,99.2055,-111.1913
3007,V1,0.3426,0.5121,5.0440,56.7215,290.5727
3007,V2,0.2019,0.3115,7.0584,98.6119,-47.5709
3007,V3,0.3348,0.5005,5.0679,63.5525,283.2468
3007,V4,0.1837,0.2883,7.7688,99.0228,-102.0505
3008,V1,0.3413,0.5123,4.9860,59.6621,295.0406
3008,V2,0.2101,0.3265,7.1023,98.6758,-45.3024
3008,V3,0.3420,0.5145,5.0878,57.0228,291.1405
3008,V4,0.1812,0.2840,7.6560,98.7945,-128.1612
3009,V1,0.3379,0.5086,5.0776,57.3333,276.6173
3009,V2,0.2031,0.3143,7.0773,98.6849,-53.4766
3009,V3,0.3327,0.4992,5.0732,61.7808,286.9179
3009,V4,0.1821,0.2856,7.5012,99.0594,-97.6708
3010,V1,0.3409,0.5084,5.1033,53.9269,293.7039
3010,V2,0.1957,0.3047,7.3306,98.8493,-81.4173
3010,V3,0.3381,0.5078,5.1053,56.5662,295.1525
3010,V4,0.1722,0.2698,7.6820,99.1324,-89.3003
3011,V1,0.3428,0.5122,4.9789,56.0731,302.2254
3011,V2,0.2256,0.3475,6.8537,98.2922,-44.6375
3011,V3,0.3412,0.5106,5.0481,57.5160,296.5781
3011,V4,0.1613,0.2570,7.9837,98.7397,-132.5815
3012,V1,0.3502,0.5225,4.9123,57.1963,304.4979
3012,V2,0.2351,0.3608,6.6374,98.4110,-34.5703
3012,V3,0.3351,0.5030,4.9822,70.4201,276.1313
3012,V4,0.1774,0.2757,7.7132,99.3333,-60.5883
3013,V1,0.3441,0.5158,4.9979,57.9178,296.5942
3013,V2,0.2044,0.3148,7.1825,99.0685,-32.2481
3013,V3,0.3365,0.5055,4.9821,65.5525,281.8453
3013,V4,0.1575,0.2471,7.8813,99.2694,-133.8768
3014,V1,0.3420,0.5149,5.0492,56.8767,290.5615
3014,V2,0.1928,0.2993,7.2492,98.7763,-46.2480
3014,V3,0.3361,0.5062,5.0576,61.7900,287.0156
3014,V4,0.1742,0.2754,7.7710,98.9132,-103.8309
3015,V1,0.3386,0.5101,5.0166,58.8676,291.4126
3015,V2,0.2058,0.3187,7.2764,98.6027,-66.3326
3015,V3,0.3358,0.5043,5.0882,59.5160,287.9155
3015,V4,0.1711,0.2700,7.8455,98.9315,-103.2803
3016,V1,0.3450,0.5206,5.0227,56.8584,293.9920
3016,V2,0.2143,0.3334,6.5749,98.0913,-25.5700
3016,V3,0.3410,0.5107,5.0417,60.0274,292.1761
3016,V4,0.1709,0.2688,7.8647,98.8219,-83.5857
3017,V1,0.3412,0.5138,5.0860,55.1324,287.5056
3017,V2,0.2076,0.3195,7.0549,98.6849,-33.3809
3017,V3,0.3353,0.5033,5.0902,59.8539,287.7414
3017,V4,0.1750,0.2724,7.7012,98.8767,-97.1290
3018,V1,0.3394,0.5069,5.0945,55.6256,286.2766
3018,V2,0.2066,0.3196,6.9899,98.7397,-68.0560
3018,V3,0.3232,0.4881,5.1857,66.3744,263.8164
3018,V4,0.1466,0.2351,8.1222,98.8858,-122.5766
3019,V1,0.3436,0.5139,5.0527,57.4886,284.6651
3019,V2,0.1971,0.3086,7.3473,98.4475,-75.1105
3019,V3,0.3276,0.4947,5.1096,67.3242,275.3884
3019,V4,0.1658,0.2593,7.8285,99.0046,-141.5835
3020,V1,0.3463,0.5204,4.9587,61.3333,288.0808
3020,V2,0.1991,0.3094,7.1318,98.9132,-44.8683
3020,V3,0.3424,0.5148,4.9583,63.5068,289.7389
3020,V4,0.1898,0.2953,7.5328,98.9680,-77.6987
3021,V1,0.3427,0.5129,5.0251,56.7763,296.9839
3021,V2,0.1799,0.2821,7.5089,98.9772,-103.4561
3021,V3,0.3376,0.5054,5.0345,61.3059,286.0346
3021,V4,0.1711,0.2686,7.7784,98.9954,-111.3314
3022,V1,0.3480,0.5179,4.9407,56.6301,309.8984
3022,V2,0.2231,0.3423,6.8933,98.7671,-36.0362
3022,V3,0.3385,0.5103,5.0705,63.2055,284.4216
3022,V4,0.1546,0.2456,7.9541,99.0868,-124.1014
3023,V1,0.3430,0.5155,4.9637,62.7123,288.8078
3023,V2,0.1954,0.3053,7.2596,98.7580,-28.0116
3023,V3,0.3318,0.4998,5.0640,66.9863,277.3918
3023,V4,0.1833,0.2854,7.5499,99.1416,-96.2635
3024,V1,0.3400,0.5108,5.0700,55.9452,288.0266
3024,V2,0.2075,0.3188,6.8354,98.9315,-44.6150
3024,V3,0.3384,0.5086,5.1368,56.5205,289.7203
3024,V4,0.1962,0.3032,7.3740,99.2877,-75.8204
3025,V1,0.3419,0.5136,5.0484,56.3196,291.8716
3025,V2,0.2032,0.3155,7.0921,98.3744,-47.3808
3025,V3,0.3404,0.5084,5.1152,56.4932,295.3338
3025,V4,0.1809,0.2828,7.6395,98.7763,-95.5475
3026,V1,0.3466,0.5172,5.0212,57.1142,296.2185
3026,V2,0.2022,0.3113,7.1545,98.7489,-46.3012
3026,V3,0.3457,0.5195,5.0268,57.9543,293.8810
3026,V4,0.1974,0.3077,7.5163,99.0228,-83.2406
3027,V1,0.3427,0.5150,5.0590,56.9224,288.3208
3027,V2,0.2202,0.3363,6.8896,98.5753,-48.0265
3027,V3,0.3407,0.5116,5.0856,57.6986,291.7810
3027,V4,0.1707,0.2718,7.8347,98.7671,-110.0891
3028,V1,0.3488,0.5206,4.9925,56.9680,298.7363
3028,V2,0.2314,0.3567,6.5995,98.4566,-30.9449
3028,V3,0.3473,0.5202,5.0354,57.3059,299.8880
3028,V4,0.1828,0.2859,7.6052,99.0411,-83.1066
3029,V1,0.3444,0.5169,5.0426,57.5434,293.0185
3029,V2,0.2028,0.3143,7.0760,98.6667,-37.2074
3029,V3,0.3434,0.5124,5.0463,57.8174,299.3103
3029,V4,0.1851,0.2878,7.4668,99.1507,-77.5143
