semilla,version,contagio,hospital,coste,pct_bajo,retorno
3000,V1,0.3429,0.5159,5.0523,58.0457,288.9029
3000,V2,0.1964,0.3070,7.1902,98.8676,-49.2882
3000,V3,0.3411,0.5132,5.0555,59.2603,291.5503
3000,V4,0.1960,0.3063,7.2886,99.0411,-93.2561
3001,V1,0.3425,0.5118,5.0831,52.7580,299.0008
3001,V2,0.2202,0.3368,6.6224,99.0959,-17.6549
3001,V3,0.3293,0.4925,5.1292,66.8950,271.0090
3001,V4,0.2246,0.3433,6.6942,99.2237,-3.7484
3002,V1,0.3461,0.5193,5.0064,57.3242,290.7798
3002,V2,0.2069,0.3205,6.8616,98.7945,-24.3165
3002,V3,0.3306,0.4970,5.0585,67.1142,276.7108
3002,V4,0.1764,0.2767,7.5824,98.9680,-119.1235
3003,V1,0.3402,0.5105,5.1001,56.1553,291.3770
3003,V2,0.2147,0.3310,7.0337,98.6941,-67.0451
3003,V3,0.3397,0.5096,5.0880,56.4658,294.5660
3003,V4,0.1700,0.2675,7.6974,98.9132,-82.1480
3004,V1,0.3434,0.5149,5.0742,56.9224,294.8712
3004,V2,0.2011,0.3115,7.0404,99.0868,-33.1301
3004,V3,0.3374,0.5061,5.0438,62.4110,288.7012
3004,V4,0.1754,0.2747,7.6160,99.2055,-98.4708
3005,V1,0.3429,0.5142,5.0748,57.3333,289.8592
3005,V2,0.2052,0.3174,7.0714,98.8950,-44.8952
3005,V3,0.3269,0.4912,5.1061,67.2694,273.6501
3005,V4,0.1617,0.2550,7.9625,99.0320,-110.3599
3006,V1,0.3510,0.5246,4.9086,57.1598,300.3913
3006,V2,0.2250,0.3444,6.8878,98.7671,-53.6720
3006,V3,0.3353,0.5020,5.0246,67.6256,281.1703
3006,V4,0.1853,0.2877,7.5042,98.9954,-89.3418
3007,V1,0.3426,0.5105,5.0213,57.0228,291.6457
3007,V2,0.2043,0.3126,6.9795,98.7580,-41.2415
3007,V3,0.3311,0.4940,5.0772,64.5479,284.4150
3007,V4,0.1969,0.3017,7.4145,99.1872,-83.5835
3008,V1,0.3415,0.5081,4.9678,58.9772,305.9194
3008,V2,0.2087,0.3183,7.0916,98.9680,-46.1614
3008,V3,0.3405,0.5067,5.0457,58.4566,301.1938
3008,V4,0.1776,0.2740,7.5574,99.3607,-106.3571
3009,V1,0.3386,0.5063,5.0796,56.7671,282.5768
3009,V2,0.2049,0.3156,7.0068,99.1142,-48.6133
3009,V3,0.3308,0.4953,5.1159,64.1279,276.4788
3009,V4,0.1733,0.2703,7.6551,99.1598,-81.4955
3010,V1,0.3411,0.5125,5.0779,54.6575,288.3645
3010,V2,0.1976,0.3081,7.2995,98.4475,-81.2536
3010,V3,0.3381,0.5082,5.1107,56.7763,294.2237
3010,V4,0.1682,0.2660,7.7523,98.8950,-95.2180
3011,V1,0.3434,0.5161,5.0142,55.8630,293.6764
3011,V2,0.2254,0.3477,6.8378,98.3744,-43.3963
3011,V3,0.3301,0.4972,5.0715,65.3516,279.8426
3011,V4,0.1746,0.2752,7.6692,98.6849,-102.5935
3012,V1,0.3502,0.5242,4.9139,57.8539,301.5668
3012,V2,0.2356,0.3607,6.6202,98.5753,-35.1142
3012,V3,0.3361,0.5039,5.0065,66.3927,286.7138
3012,V4,0.1807,0.2819,7.4293,99.1142,-77.2845
3013,V1,0.3451,0.5195,5.0658,56.7763,295.7139
3013,V2,0.2062,0.3210,7.1887,98.7580,-36.8576
3013,V3,0.3447,0.5190,5.0775,57.3607,295.1717
3013,V4,0.1894,0.2970,7.5691,98.7580,-80.3420
3014,V1,0.3430,0.5109,5.0308,56.2100,297.2157
3014,V2,0.1936,0.2979,7.2006,98.9589,-45.3679
3014,V3,0.3301,0.4926,5.0805,64.6027,284.4820
3014,V4,0.1709,0.2655,7.7380,99.0502,-116.8381
3015,V1,0.3393,0.5090,5.0397,58.4292,292.4484
3015,V2,0.2104,0.3249,7.2721,98.7215,-67.7060
3015,V3,0.3254,0.4888,5.2011,65.5982,268.1811
3015,V4,0.1964,0.3051,7.3947,98.9406,-51.4667
3016,V1,0.3454,0.5171,5.0149,56.2374,298.3036
3016,V2,0.2140,0.3292,6.5219,98.5205,-20.0167
3016,V3,0.3434,0.5140,5.0571,57.1233,301.4577
3016,V4,0.1739,0.2720,7.8279,99.1324,-94.3514
