version,metrica,media,ic95_lo,ic95_hi
V1,contagio,0.3434,0.3423,0.3444
V1,hospital,0.5151,0.5135,0.5167
V1,coste,5.0318,5.0126,5.0509
V1,pct_bajo,57.1775,56.5233,57.8316
V1,retorno,292.5172,290.5953,294.4392
V2,contagio,0.3175,0.3143,0.3208
V2,hospital,0.4778,0.4732,0.4825
V2,coste,5.3563,5.3052,5.4074
V2,pct_bajo,83.8237,81.9414,85.7061
V2,retorno,89.7300,83.6240,95.8360
V3,contagio,0.3438,0.3426,0.3450
V3,hospital,0.5155,0.5138,0.5171
V3,coste,5.0456,5.0301,5.0610
V3,pct_bajo,56.2548,55.7223,56.7872
V3,retorno,293.4776,291.5550,295.4002
V4,contagio,0.3360,0.3318,0.3402
V4,hospital,0.5051,0.4990,0.5112
V4,coste,5.0959,5.0370,5.1548
V4,pct_bajo,70.6527,67.0832,74.2221
V4,retorno,65.4567,54.4153,76.4982
