version,metrica,media,ic95_lo,ic95_hi
V1,contagio,0.3435,0.3424,0.3447
V1,hospital,0.5149,0.5131,0.5167
V1,coste,5.0321,5.0127,5.0515
V1,pct_bajo,57.0377,56.3875,57.6880
V1,retorno,293.1639,290.9672,295.3605
V2,contagio,0.3084,0.3042,0.3126
V2,hospital,0.4648,0.4586,0.4710
V2,coste,5.5999,5.5341,5.6656
V2,pct_bajo,88.2947,86.4635,90.1259
V2,retorno,70.1802,65.0912,75.2691
V3,contagio,0.3432,0.3420,0.3445
V3,hospital,0.5144,0.5125,0.5164
V3,coste,5.0174,4.9961,5.0388
V3,pct_bajo,56.9419,56.3453,57.5384
V3,retorno,297.1211,294.7870,299.4552
V4,contagio,0.3248,0.3207,0.3289
V4,hospital,0.4885,0.4827,0.4943
V4,coste,5.3931,5.3245,5.4617
V4,pct_bajo,79.9537,77.9170,81.9904
V4,retorno,61.0123,52.8991,69.1255
