version,metrica,media,ic95_lo,ic95_hi
V1,contagio,0.3435,0.3424,0.3446
V1,hospital,0.5149,0.5132,0.5165
V1,coste,5.0257,5.0063,5.0451
V1,pct_bajo,57.1330,56.4476,57.8185
V1,retorno,293.6730,291.4230,295.9229
V2,contagio,0.3125,0.3045,0.3206
V2,hospital,0.4705,0.4590,0.4820
V2,coste,5.9380,5.8320,6.0441
V2,pct_bajo,81.9866,77.2602,86.7130
V2,retorno,42.5275,31.1308,53.9242
V3,contagio,0.3427,0.3415,0.3438
V3,hospital,0.5141,0.5123,0.5160
V3,coste,5.1035,5.0876,5.1194
V3,pct_bajo,57.3199,57.0133,57.6266
V3,retorno,290.2744,288.6914,291.8574
V4,contagio,0.3079,0.3013,0.3144
V4,hospital,0.4641,0.4546,0.4736
V4,coste,6.1167,6.0290,6.2043
V4,pct_bajo,86.1020,83.2721,88.9319
V4,retorno,19.6686,10.1287,29.2085
