version,metrica,media,ic95_lo,ic95_hi
V1,contagio,0.3434,0.3423,0.3446
V1,hospital,0.5147,0.5131,0.5163
V1,coste,5.0273,5.0081,5.0465
V1,pct_bajo,57.0910,56.4242,57.7579
V1,retorno,293.1467,290.7481,295.5453
V2,contagio,0.2079,0.2036,0.2123
V2,hospital,0.3213,0.3150,0.3275
V2,coste,7.0296,6.9468,7.1125
V2,pct_bajo,98.7181,98.6302,98.8060
V2,retorno,-46.8818,-53.4465,-40.3171
V3,contagio,0.3380,0.3361,0.3399
V3,hospital,0.5074,0.5047,0.5100
V3,coste,5.0649,5.0467,5.0831
V3,pct_bajo,61.0033,59.5702,62.4365
V3,retorno,287.4896,284.5121,290.4671
V4,contagio,0.1749,0.1704,0.1794
V4,hospital,0.2743,0.2678,0.2807
V4,coste,7.7102,7.6343,7.7861
V4,pct_bajo,98.9878,98.9292,99.0464
V4,retorno,-101.1951,-108.3230,-94.0673
