episodio,retorno,retorno_lo,retorno_hi,td,td_lo,td_hi
0,-116.04,-122.97,-109.11,0.6213,0.6057,0.6369
250,105.46,97.89,113.04,0.7392,0.7152,0.7632
500,123.41,116.20,130.62,0.7149,0.6863,0.7435
750,134.78,127.57,141.98,0.7332,0.7064,0.7600
1000,142.64,135.78,149.50,0.7281,0.6993,0.7569
1250,149.55,139.67,159.44,0.7339,0.7085,0.7594
1500,159.72,151.42,168.01,0.7268,0.7046,0.7490
1750,169.44,161.03,177.85,0.7341,0.7089,0.7592
2000,179.95,172.90,187.01,0.7209,0.6979,0.7439
2250,181.50,173.36,189.63,0.7257,0.7038,0.7476
2500,186.81,180.03,193.58,0.7133,0.6892,0.7375
2750,192.45,185.68,199.21,0.7172,0.6946,0.7399
3000,197.14,190.15,204.13,0.7265,0.7017,0.7513
3250,203.74,196.24,211.24,0.6967,0.6763,0.7171
3500,196.19,189.67,202.71,0.7162,0.6924,0.7400
3750,201.13,194.95,207.31,0.6980,0.6719,0.7241
4000,208.89,202.58,215.20,0.7056,0.6829,0.7284
4250,218.84,211.94,225.74,0.6889,0.6643,0.7135
4500,210.91,204.95,216.87,0.7033,0.6845,0.7222
4750,221.16,214.74,227.57,0.6713,0.6512,0.6914
5000,217.76,211.49,224.04,0.6796,0.6553,0.7039
5250,217.65,212.29,223.01,0.6834,0.6635,0.7034
5500,220.90,213.62,228.18,0.6579,0.6323,0.6836
5750,221.55,215.50,227.60,0.6635,0.6408,0.6863
6000,217.78,211.50,224.05,0.6805,0.6566,0.7045
6250,231.74,224.96,238.52,0.6404,0.6180,0.6628
6500,234.15,228.28,240.03,0.6420,0.6221,0.6619
6750,228.21,222.59,233.82,0.6368,0.6126,0.6609
7000,237.00,231.59,242.42,0.6159,0.5970,0.6348
7250,226.98,220.53,233.42,0.6349,0.6103,0.6594
7500,229.75,222.50,237.01,0.6275,0.6041,0.6508
7750,241.14,236.12,246.16,0.6087,0.5891,0.6282
8000,237.02,230.24,243.80,0.5994,0.5775,0.6214
8250,236.96,232.01,241.91,0.5923,0.5714,0.6132
8500,240.57,234.50,246.65,0.6032,0.5811,0.6252
8750,237.00,231.52,242.47,0.5964,0.5761,0.6167
9000,235.49,229.56,241.41,0.5858,0.5662,0.6055
9250,235.90,230.35,241.44,0.5970,0.5772,0.6169
9500,241.32,235.48,247.16,0.5842,0.5646,0.6039
9750,241.27,234.86,247.68,0.5774,0.5557,0.5992
10000,242.32,236.98,247.67,0.5798,0.5585,0.6010
10250,241.15,236.59,245.72,0.5721,0.5518,0.5925
10500,243.93,238.38,249.49,0.5724,0.5527,0.5920
10750,244.23,238.53,249.93,0.5611,0.5427,0.5794
11000,245.10,238.67,251.54,0.5656,0.5444,0.5868
11250,249.84,244.01,255.67,0.5454,0.5268,0.5640
11500,244.97,240.09,249.85,0.5567,0.5374,0.5759
11750,243.96,237.98,249.94,0.5577,0.5355,0.5798
12000,245.56,239.46,251.67,0.5496,0.5289,0.5704
12250,246.39,241.18,251.61,0.5583,0.5400,0.5766
12500,249.26,243.48,255.05,0.5436,0.5228,0.5645
12750,249.36,244.03,254.69,0.5559,0.5327,0.5791
13000,251.50,246.35,256.65,0.5404,0.5215,0.5593
13250,253.67,248.22,259.11,0.5242,0.5068,0.5417
13500,245.48,239.49,251.47,0.5499,0.5264,0.5734
13750,252.50,247.44,257.56,0.5353,0.5152,0.5553
14000,253.48,248.32,258.63,0.5168,0.4990,0.5347
14250,253.67,247.51,259.82,0.5185,0.4980,0.5390
14500,258.17,253.10,263.23,0.5112,0.4930,0.5294
14750,254.29,248.53,260.04,0.5230,0.5050,0.5410
15000,258.36,251.50,265.22,0.5156,0.4925,0.5388
15250,257.89,251.50,264.27,0.5156,0.4940,0.5372
15500,256.30,251.61,260.99,0.5128,0.4973,0.5282
15750,252.00,247.75,256.25,0.5173,0.4986,0.5361
16000,260.01,254.02,265.99,0.4976,0.4782,0.5171
16250,255.53,249.84,261.22,0.5101,0.4877,0.5326
16500,256.68,251.90,261.46,0.5084,0.4891,0.5278
16750,260.41,255.46,265.36,0.4944,0.4789,0.5099
17000,259.81,254.69,264.94,0.5029,0.4844,0.5214
17250,255.46,249.68,261.24,0.5062,0.4868,0.5257
17500,259.22,253.67,264.78,0.4777,0.4602,0.4953
17750,253.75,247.60,259.90,0.5175,0.4964,0.5385
18000,261.20,255.51,266.90,0.5014,0.4829,0.5199
18250,260.11,255.77,264.44,0.4986,0.4823,0.5149
18500,256.11,250.80,261.43,0.4975,0.4803,0.5146
18750,261.45,256.02,266.88,0.4755,0.4600,0.4910
19000,258.43,253.37,263.48,0.5115,0.4911,0.5320
19250,253.41,247.54,259.29,0.5189,0.4935,0.5443
19500,261.03,254.92,267.13,0.4889,0.4705,0.5074
19750,262.37,258.16,266.58,0.4861,0.4705,0.5017
20000,262.35,258.19,266.52,0.4901,0.4736,0.5067
20250,259.56,254.59,264.53,0.4845,0.4643,0.5047
20500,263.48,258.93,268.02,0.4783,0.4613,0.4954
20750,267.08,261.67,272.49,0.4669,0.4526,0.4813
21000,268.19,263.38,272.99,0.4724,0.4555,0.4894
21250,263.99,258.10,269.87,0.4797,0.4594,0.5001
21500,265.03,259.53,270.52,0.4677,0.4523,0.4831
21750,263.32,258.27,268.38,0.4675,0.4518,0.4832
22000,265.20,260.34,270.07,0.4733,0.4561,0.4905
22250,264.53,259.14,269.92,0.4767,0.4605,0.4930
22500,269.66,264.47,274.84,0.4762,0.4581,0.4944
22750,268.27,263.31,273.24,0.4648,0.4474,0.4822
23000,264.40,258.40,270.40,0.4722,0.4529,0.4915
23250,265.31,259.83,270.78,0.4762,0.4606,0.4918
23500,263.99,259.60,268.38,0.4707,0.4548,0.4866
23750,264.95,259.05,270.85,0.4847,0.4641,0.5053
24000,263.88,258.73,269.02,0.4631,0.4461,0.4801
24250,267.73,261.47,273.99,0.4596,0.4391,0.4802
24500,264.38,259.00,269.76,0.4623,0.4469,0.4777
24750,260.71,255.56,265.86,0.4785,0.4611,0.4958
25000,265.22,260.68,269.77,0.4564,0.4412,0.4717
25250,266.84,261.74,271.93,0.4587,0.4396,0.4777
25500,268.59,262.57,274.62,0.4541,0.4373,0.4709
25750,261.74,256.75,266.74,0.4686,0.4528,0.4844
26000,263.60,258.53,268.67,0.4607,0.4425,0.4790
26250,265.06,261.06,269.07,0.4803,0.4619,0.4987
26500,267.50,261.79,273.22,0.4609,0.4407,0.4812
26750,273.49,268.39,278.58,0.4429,0.4289,0.4570
27000,261.55,256.97,266.13,0.4750,0.4601,0.4899
27250,266.81,262.47,271.15,0.4607,0.4454,0.4760
27500,266.86,262.32,271.40,0.4555,0.4365,0.4745
27750,270.01,264.31,275.71,0.4608,0.4396,0.4819
28000,268.52,263.24,273.81,0.4458,0.4265,0.4651
28250,266.32,261.17,271.47,0.4535,0.4338,0.4731
28500,270.34,265.84,274.84,0.4473,0.4315,0.4632
28750,273.01,267.04,278.99,0.4397,0.4223,0.4572
29000,267.90,262.27,273.53,0.4577,0.4393,0.4760
29250,267.35,262.96,271.75,0.4509,0.4355,0.4664
29500,270.29,265.76,274.83,0.4538,0.4359,0.4717
29750,269.29,263.87,274.70,0.4422,0.4262,0.4582
30000,272.65,267.56,277.73,0.4405,0.4242,0.4568
30250,268.82,264.23,273.41,0.4524,0.4359,0.4689
30500,272.01,266.75,277.27,0.4331,0.4178,0.4484
30750,265.00,259.65,270.36,0.4516,0.4368,0.4663
31000,268.77,263.30,274.23,0.4384,0.4207,0.4562
31250,271.54,266.18,276.91,0.4383,0.4214,0.4551
31500,271.84,266.62,277.07,0.4461,0.4281,0.4641
31750,267.48,262.38,272.59,0.4664,0.4488,0.4841
32000,273.92,268.77,279.07,0.4274,0.4141,0.4408
32250,273.89,268.69,279.09,0.4468,0.4289,0.4647
32500,271.60,266.97,276.23,0.4449,0.4292,0.4606
32750,266.93,262.22,271.65,0.4558,0.4349,0.4768
33000,270.64,266.06,275.22,0.4442,0.4241,0.4644
33250,273.14,268.17,278.11,0.4319,0.4192,0.4445
33500,271.70,266.74,276.67,0.4297,0.4136,0.4459
33750,273.47,268.68,278.27,0.4355,0.4202,0.4508
34000,271.09,266.85,275.32,0.4388,0.4250,0.4526
34250,270.53,265.58,275.48,0.4558,0.4374,0.4742
34500,276.37,271.02,281.72,0.4277,0.4100,0.4454
34750,275.36,270.58,280.15,0.4248,0.4102,0.4393
35000,270.04,265.55,274.53,0.4384,0.4231,0.4536
35250,268.74,263.73,273.76,0.4372,0.4194,0.4550
35500,273.95,269.59,278.30,0.4213,0.4098,0.4328
35750,275.21,270.35,280.06,0.4214,0.4067,0.4362
36000,269.92,264.97,274.87,0.4341,0.4161,0.4522
36250,268.37,262.76,273.98,0.4526,0.4337,0.4716
36500,275.25,270.34,280.16,0.4196,0.4043,0.4350
36750,269.68,265.17,274.18,0.4436,0.4247,0.4625
37000,273.34,269.08,277.60,0.4267,0.4112,0.4422
37250,270.65,265.69,275.61,0.4455,0.4297,0.4614
37500,270.73,265.38,276.08,0.4365,0.4187,0.4543
37750,273.57,268.85,278.30,0.4241,0.4089,0.4393
38000,273.77,269.13,278.41,0.4305,0.4135,0.4474
38250,272.15,267.13,277.17,0.4325,0.4182,0.4467
38500,273.54,268.10,278.98,0.4276,0.4103,0.4448
38750,272.80,267.93,277.67,0.4413,0.4216,0.4611
39000,271.08,266.12,276.03,0.4343,0.4184,0.4501
39250,271.10,266.85,275.34,0.4257,0.4108,0.4406
39500,274.34,269.86,278.82,0.4329,0.4192,0.4465
39750,269.80,265.54,274.05,0.4287,0.4139,0.4436
40000,276.47,271.74,281.20,0.4209,0.4057,0.4362
40250,270.36,265.45,275.26,0.4444,0.4271,0.4618
40500,273.01,268.56,277.46,0.4343,0.4171,0.4515
40750,276.33,272.00,280.65,0.4177,0.4027,0.4327
41000,270.38,265.00,275.77,0.4364,0.4196,0.4532
41250,268.85,263.81,273.89,0.4388,0.4235,0.4541
41500,275.33,270.67,279.98,0.4172,0.4015,0.4328
41750,272.67,267.67,277.67,0.4247,0.4067,0.4427
42000,270.63,265.20,276.06,0.4264,0.4119,0.4410
42250,272.33,266.96,277.69,0.4364,0.4177,0.4551
42500,274.05,268.52,279.58,0.4175,0.4010,0.4339
42750,274.30,269.10,279.49,0.4286,0.4115,0.4457
43000,272.73,267.71,277.74,0.4249,0.4080,0.4419
43250,273.46,269.31,277.62,0.4343,0.4196,0.4491
43500,271.65,265.90,277.39,0.4366,0.4197,0.4534
