episodio,prop_rapida,calma
0,0.0,0.0
500,0.0,0.0
1000,0.0,0.0
1500,0.0,0.0
2000,0.0,4.0
2500,0.0,4.0
3000,0.0,8.0
3500,0.0,10.0
4000,0.0,10.0
4500,0.0,12.0
5000,0.0,12.0
5500,0.0,14.0
6000,0.0,14.0
6500,0.0,16.0
7000,0.0,16.0
7500,0.0,16.0
8000,0.0,16.0
8500,0.0,18.0
9000,0.0,18.0
9500,0.0,20.0
10000,0.0,22.0
10500,0.0,22.0
11000,0.0,24.0
11500,0.0,24.0
12000,0.0,24.0
12500,0.0,24.0
13000,0.0,24.0
13500,0.0,24.0
14000,0.0,24.0
14500,0.0,24.0
15000,0.0,24.0
15500,0.0,26.0
16000,0.0,26.0
16500,0.0,26.0
17000,0.0,26.0
17500,0.0,28.0
18000,0.0,28.0
18500,0.0,28.0
19000,0.0,28.0
19500,0.0,28.0
20000,0.0,28.0
20500,0.0,28.0
21000,0.0,28.0
21500,0.0,28.0
22000,0.0,30.0
22500,0.0,30.0
23000,0.0,32.0
23500,0.0,32.0
24000,0.0,34.0
24500,0.0,34.0
25000,0.0,36.0
25500,0.0,36.0
26000,0.0,36.0
26500,0.0,36.0
27000,0.0,36.0
27500,0.0,36.0
28000,0.0,38.0
28500,0.0,38.0
29000,0.0,40.0
29500,0.0,40.0
30000,0.0,40.0
30500,0.0,40.0
31000,0.0,40.0
31500,0.0,42.0
32000,0.0,42.0
32500,0.0,42.0
33000,0.0,42.0
33500,0.0,42.0
34000,0.0,42.0
34500,0.0,42.0
35000,0.0,42.0
35500,0.0,42.0
36000,0.0,42.0
36500,0.0,42.0
37000,0.0,42.0
37500,0.0,42.0
38000,0.0,42.0
38500,0.0,42.0
39000,0.0,42.0
39500,0.0,42.0
40000,0.0,42.0
40500,0.0,42.0
41000,0.0,44.0
41500,0.0,44.0
42000,0.0,44.0
42500,0.0,44.0
43000,0.0,44.0
43500,0.0,44.0
44000,0.0,44.0
44500,0.0,44.0
45000,0.0,44.0
45500,0.0,44.0
46000,0.0,44.0
46500,0.0,44.0
47000,0.0,44.0
47500,0.0,44.0
48000,0.0,44.0
48500,0.0,44.0
49000,0.0,44.0
49500,0.0,44.0
50000,0.0,44.0
50500,0.0,44.0
51000,0.0,44.0
51500,0.0,44.0
52000,0.0,44.0
52500,0.0,44.0
53000,0.0,44.0
53500,0.0,44.0
54000,0.0,44.0
54500,0.0,44.0
55000,0.0,44.0
55500,0.0,44.0
56000,0.0,44.0
56500,0.0,44.0
57000,0.0,44.0
57500,0.0,44.0
58000,0.0,44.0
58500,0.0,44.0
59000,0.0,44.0
59500,0.0,44.0
60000,0.0,44.0
60500,0.0,44.0
61000,0.0,46.0
61500,0.0,46.0
62000,0.0,46.0
62500,0.0,46.0
63000,0.0,46.0
63500,0.0,46.0
64000,0.0,48.0
64500,0.0,48.0
65000,0.0,48.0
65500,0.0,48.0
66000,0.0,48.0
66500,0.0,48.0
67000,0.0,48.0
67500,0.0,48.0
68000,0.0,48.0
68500,0.0,48.0
69000,0.0,48.0
69500,0.0,50.0
70000,0.0,50.0
70500,0.0,50.0
71000,0.0,50.0
71500,0.0,50.0
72000,0.0,52.0
72500,0.0,52.0
73000,0.0,52.0
73500,0.0,52.0
74000,0.0,52.0
74500,0.0,52.0
75000,0.0,54.0
75500,0.0,54.0
76000,0.0,56.0
76500,0.0,56.0
77000,0.0,56.0
77500,0.0,58.0
78000,0.0,58.0
78500,0.0,58.0
79000,0.0,58.0
79500,0.0,58.0
80000,0.0,58.0
80500,0.0,60.0
81000,0.0,64.0
81500,0.0,66.0
82000,2.0,66.0
82500,4.0,68.0
83000,4.0,68.0
83500,4.0,70.0
84000,4.0,70.0
84500,4.0,70.0
85000,4.0,72.0
85500,4.0,74.0
86000,4.0,74.0
86500,4.0,74.0
87000,4.0,74.0
87500,4.0,74.0
88000,4.0,74.0
88500,8.0,74.0
89000,8.0,74.0
89500,8.0,74.0
90000,10.0,74.0
90500,10.0,78.0
91000,12.0,78.0
91500,14.0,80.0
92000,14.0,80.0
92500,14.0,80.0
93000,20.0,80.0
93500,22.0,80.0
94000,24.0,80.0
94500,28.0,80.0
95000,28.0,80.0
95500,40.0,82.0
96000,44.0,82.0
96500,46.0,86.0
97000,50.0,88.0
97500,56.0,90.0
98000,58.0,92.0
98500,70.0,94.0
99000,80.0,96.0
99500,90.0,96.0
100000,100.0,100.0
