alpha0,episodio,retorno,td
0.1,0,-107.55,0.5607
0.1,333,84.99,0.7347
0.1,666,85.59,0.7174
0.1,999,91.53,0.7152
0.1,1332,86.72,0.6906
0.1,1665,90.17,0.7007
0.1,1998,94.64,0.6964
0.1,2331,101.61,0.6891
0.1,2664,98.66,0.6960
0.1,2997,99.81,0.7124
0.1,3330,116.99,0.6887
0.1,3663,116.68,0.7313
0.1,3996,111.19,0.7211
0.1,4329,106.53,0.7283
0.1,4662,120.80,0.7359
0.1,4995,121.02,0.7118
0.1,5328,120.95,0.7497
0.1,5661,125.48,0.7483
0.1,5994,122.62,0.7464
0.1,6327,128.03,0.7498
0.1,6660,123.97,0.7786
0.1,6993,132.08,0.7389
0.1,7326,118.45,0.7688
0.1,7659,131.22,0.7551
0.1,7992,129.48,0.7641
0.1,8325,139.89,0.7646
0.1,8658,140.40,0.7888
0.1,8991,148.37,0.7699
0.1,9324,138.50,0.7851
0.1,9657,148.32,0.7685
0.1,9990,142.98,0.7913
0.1,10323,148.22,0.8170
0.1,10656,157.17,0.7884
0.1,10989,161.97,0.7924
0.1,11322,152.99,0.7968
0.1,11655,150.75,0.8157
0.1,11988,151.22,0.8390
0.1,12321,172.71,0.8339
0.1,12654,149.16,0.8314
0.1,12987,173.37,0.8062
0.1,13320,173.45,0.8044
0.1,13653,166.14,0.8375
0.1,13986,175.37,0.8257
0.1,14319,172.30,0.8402
0.1,14652,170.93,0.8379
0.1,14985,165.99,0.8198
0.1,15318,170.42,0.8347
0.1,15651,176.17,0.8325
0.1,15984,179.08,0.8344
0.1,16317,176.46,0.8501
0.1,16650,171.21,0.8356
0.1,16983,176.15,0.8266
0.1,17316,183.17,0.8102
0.1,17649,178.57,0.8079
0.1,17982,183.37,0.8381
0.1,18315,193.25,0.8078
0.1,18648,193.74,0.8059
0.1,18981,189.31,0.8232
0.1,19314,186.75,0.7973
0.1,19647,188.48,0.8142
0.1,19980,181.38,0.8375
0.1,20313,187.62,0.8152
0.1,20646,200.01,0.7935
0.1,20979,190.04,0.8178
0.1,21312,192.22,0.8197
0.1,21645,201.72,0.7891
0.1,21978,194.04,0.8229
0.1,22311,193.73,0.8014
0.1,22644,190.28,0.8207
0.1,22977,193.41,0.8124
0.1,23310,190.27,0.7926
0.1,23643,198.72,0.7805
0.1,23976,207.86,0.7722
0.1,24309,203.29,0.7824
0.1,24642,203.85,0.7977
0.1,24975,197.54,0.7891
0.1,25308,193.73,0.8039
0.1,25641,206.87,0.7760
0.1,25974,196.57,0.7890
0.1,26307,203.71,0.7819
0.1,26640,206.01,0.8024
0.1,26973,209.97,0.7718
0.1,27306,214.63,0.7491
0.1,27639,200.04,0.7824
0.1,27972,205.89,0.7815
0.1,28305,215.99,0.7514
0.1,28638,217.06,0.7457
0.1,28971,211.87,0.7758
0.1,29304,211.25,0.7635
0.1,29637,206.81,0.7573
0.1,29970,207.08,0.7652
0.1,30303,212.08,0.7553
0.1,30636,210.10,0.7318
0.1,30969,214.53,0.7371
0.1,31302,218.41,0.7486
0.1,31635,203.64,0.7538
0.1,31968,213.43,0.7142
0.1,32301,222.23,0.7162
0.1,32634,209.73,0.7450
0.1,32967,216.50,0.7380
0.1,33300,208.74,0.7632
0.1,33633,220.58,0.7098
0.1,33966,222.79,0.7143
0.1,34299,218.56,0.7283
0.1,34632,234.77,0.6733
0.1,34965,218.93,0.7160
0.1,35298,220.34,0.7103
0.1,35631,223.67,0.6859
0.1,35964,223.42,0.6909
0.1,36297,212.50,0.6962
0.1,36630,218.04,0.6958
0.1,36963,206.62,0.7310
0.1,37296,218.90,0.7083
0.1,37629,224.64,0.6784
0.1,37962,229.70,0.6867
0.1,38295,213.10,0.7109
0.1,38628,231.98,0.6754
0.1,38961,227.70,0.6639
0.1,39294,235.69,0.6363
0.1,39627,220.78,0.6720
0.1,39960,232.39,0.6697
0.1,40293,229.68,0.6623
0.1,40626,225.67,0.6631
0.1,40959,231.13,0.6533
