t,contagio,hospital,coste,work,school,ptrans,conf
0,0.6500,0.3500,3.0,1,0,2,0
1,0.6403,0.4177,0.0,0,0,0,0
2,0.6847,0.4786,9.0,2,2,1,2
3,0.5903,0.5253,1.0,0,1,0,0
4,0.6405,0.5698,8.0,2,2,2,1
5,0.5478,0.6107,10.0,2,2,2,2
6,0.4669,0.6554,10.0,2,2,2,2
7,0.4131,0.6867,8.0,2,2,2,1
8,0.3668,0.7112,10.0,2,2,2,2
9,0.3158,0.7261,9.0,1,2,2,2
10,0.2966,0.7493,9.0,2,1,2,2
11,0.2767,0.7563,3.0,0,1,2,0
12,0.2941,0.8005,5.0,2,1,2,0
13,0.2848,0.7856,7.0,2,0,1,2
14,0.2916,0.7728,3.0,0,1,0,1
15,0.3071,0.7530,7.0,2,1,2,1
16,0.3141,0.7408,3.0,0,1,0,1
17,0.3449,0.7376,7.0,2,1,2,1
18,0.3252,0.7186,7.0,1,2,2,1
19,0.3027,0.6924,5.0,2,1,2,0
20,0.2932,0.6664,7.0,2,1,0,2
21,0.2986,0.6241,3.0,0,1,0,1
22,0.3462,0.5965,7.0,2,1,2,1
23,0.3329,0.5877,7.0,1,2,2,1
24,0.3147,0.5744,6.0,0,2,2,1
25,0.2997,0.5748,4.0,1,0,1,1
26,0.3174,0.5501,8.0,2,2,2,1
27,0.3067,0.5272,3.0,0,2,1,0
28,0.3246,0.5139,7.0,0,2,1,2
29,0.3228,0.4996,1.0,0,0,1,0
30,0.3417,0.5070,5.0,2,2,1,0
31,0.3180,0.5043,0.0,0,0,0,0
32,0.3486,0.5051,6.0,2,2,2,0
33,0.3470,0.5055,1.0,0,0,1,0
34,0.3937,0.5008,10.0,2,2,2,2
35,0.3439,0.4803,0.0,0,0,0,0
36,0.3877,0.4897,10.0,2,2,2,2
37,0.3503,0.4865,6.0,2,2,2,0
38,0.3433,0.4977,0.0,0,0,0,0
39,0.3869,0.5075,10.0,2,2,2,2
40,0.3266,0.4961,0.0,0,0,0,0
41,0.3893,0.4832,10.0,2,2,2,2
42,0.3438,0.5005,0.0,0,0,0,0
43,0.3919,0.5082,10.0,2,2,2,2
44,0.3563,0.5218,8.0,2,2,2,1
45,0.3303,0.5282,0.0,0,0,0,0
46,0.3741,0.5229,10.0,2,2,2,2
47,0.3221,0.5298,0.0,0,0,0,0
48,0.3648,0.5302,10.0,2,2,2,2
49,0.3310,0.5349,0.0,0,0,0,0
50,0.3673,0.5220,10.0,2,2,2,2
51,0.3164,0.5449,0.0,0,0,0,0
52,0.3705,0.5486,10.0,2,2,2,2
53,0.3130,0.5521,0.0,0,0,0,0
54,0.3508,0.5378,8.0,2,2,2,1
55,0.3334,0.5403,1.0,1,0,0,0
56,0.3690,0.5413,10.0,2,2,2,2
57,0.3249,0.5539,0.0,0,0,0,0
58,0.3721,0.5563,10.0,2,2,2,2
59,0.3252,0.5592,0.0,0,0,0,0
60,0.3576,0.5524,8.0,2,2,2,1
61,0.3122,0.5402,0.0,0,0,0,0
62,0.3540,0.5310,10.0,2,2,2,2
63,0.2993,0.5215,0.0,0,0,0,0
64,0.3524,0.5323,10.0,2,2,2,2
65,0.3278,0.5302,0.0,0,0,0,0
66,0.3734,0.5332,10.0,2,2,2,2
67,0.3238,0.5282,0.0,0,0,0,0
68,0.3688,0.5160,10.0,2,2,2,2
69,0.3404,0.5121,0.0,0,0,0,0
70,0.3700,0.5048,10.0,2,2,2,2
71,0.3126,0.5063,0.0,0,0,0,0
72,0.3456,0.5251,5.0,2,2,1,0
73,0.3366,0.5205,0.0,0,0,0,0
74,0.3502,0.5112,10.0,2,2,2,2
75,0.3286,0.5077,0.0,0,0,0,0
76,0.3509,0.5133,10.0,2,2,2,2
77,0.3313,0.5182,0.0,0,0,0,0
78,0.3787,0.5400,10.0,2,2,2,2
79,0.3344,0.5376,1.0,1,0,0,0
80,0.3693,0.5425,10.0,2,2,2,2
81,0.3208,0.5378,0.0,0,0,0,0
82,0.3644,0.5286,10.0,2,2,2,2
83,0.3292,0.5323,0.0,0,0,0,0
84,0.3742,0.5309,10.0,2,2,2,2
85,0.3260,0.5253,0.0,0,0,0,0
86,0.3682,0.5234,10.0,2,2,2,2
87,0.3332,0.5198,0.0,0,0,0,0
88,0.3871,0.5272,10.0,2,2,2,2
89,0.3507,0.5064,6.0,2,2,2,0
90,0.3379,0.5172,0.0,0,0,0,0
91,0.3721,0.5063,10.0,2,2,2,2
92,0.3349,0.4968,0.0,0,0,0,0
93,0.3783,0.5093,10.0,2,2,2,2
94,0.3342,0.5138,0.0,0,0,0,0
95,0.3620,0.4994,10.0,2,2,2,2
96,0.3116,0.5080,0.0,0,0,0,0
97,0.3737,0.5051,10.0,2,2,2,2
98,0.3319,0.5158,0.0,0,0,0,0
99,0.3747,0.5247,10.0,2,2,2,2
100,0.3584,0.5027,6.0,2,2,2,0
101,0.3391,0.5256,0.0,0,0,0,0
102,0.3750,0.5221,10.0,2,2,2,2
103,0.3165,0.5366,0.0,0,0,0,0
104,0.3635,0.5205,10.0,2,2,2,2
105,0.3371,0.5327,0.0,0,0,0,0
106,0.3790,0.5161,10.0,2,2,2,2
107,0.3476,0.5168,0.0,0,0,0,0
108,0.3818,0.5373,10.0,2,2,2,2
109,0.3459,0.5299,0.0,0,0,0,0
110,0.3877,0.5186,10.0,2,2,2,2
111,0.3428,0.5038,0.0,0,0,0,0
112,0.3654,0.4989,10.0,2,2,2,2
113,0.3471,0.4997,0.0,0,0,0,0
114,0.3860,0.5197,10.0,2,2,2,2
115,0.3339,0.5127,0.0,0,0,0,0
116,0.3793,0.5035,10.0,2,2,2,2
