version,metrica,media,ic95_lo,ic95_hi
V1,contagio,0.3435,0.3424,0.3447
V1,hospital,0.5149,0.5131,0.5167
V1,coste,5.0321,5.0127,5.0515
V1,pct_bajo,57.0377,56.3875,57.6880
V1,retorno,293.1639,290.9672,295.3605
V2,contagio,0.3161,0.3077,0.3244
V2,hospital,0.4758,0.4639,0.4878
V2,coste,5.9091,5.8028,6.0154
V2,pct_bajo,79.9367,75.0271,84.8462
V2,retorno,42.2054,30.4917,53.9191
V3,contagio,0.3428,0.3415,0.3440
V3,hospital,0.5138,0.5118,0.5158
V3,coste,5.1020,5.0839,5.1201
V3,pct_bajo,57.1702,56.9160,57.4243
V3,retorno,290.5855,288.6544,292.5166
V4,contagio,0.3132,0.3076,0.3187
V4,hospital,0.4716,0.4636,0.4796
V4,coste,6.0589,5.9791,6.1386
V4,pct_bajo,82.2365,78.1419,86.3311
V4,retorno,19.5518,10.1962,28.9075
