version,metrica,media,ic95_lo,ic95_hi
V1,contagio,0.3435,0.3424,0.3447
V1,hospital,0.5149,0.5131,0.5167
V1,coste,5.0321,5.0127,5.0515
V1,pct_bajo,57.0377,56.3875,57.6880
V1,retorno,293.1639,290.9672,295.3605
V2,contagio,0.2093,0.2050,0.2135
V2,hospital,0.3231,0.3169,0.3293
V2,coste,7.0060,6.9227,7.0892
V2,pct_bajo,98.7866,98.7172,98.8560
V2,retorno,-46.0109,-52.6041,-39.4176
V3,contagio,0.3338,0.3299,0.3376
V3,hospital,0.5009,0.4953,0.5064
V3,coste,5.0697,5.0520,5.0875
V3,pct_bajo,63.7050,61.0524,66.3577
V3,retorno,282.9490,277.2969,288.6011
V4,contagio,0.1867,0.1756,0.1977
V4,hospital,0.2908,0.2750,0.3067
V4,coste,7.4766,7.2967,7.6565
V4,pct_bajo,98.0654,96.1452,99.9857
V4,retorno,-76.5442,-100.0485,-53.0400
