,E1,E2,E3,E4,E5,E6,E7,A1,A2,A3,A4
E1,0.0000,0.0000,0.2702,0.0000,-0.0426,0.0000,-0.2465,0.0000,0.0000,0.0000,0.0000
E2,0.0583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E3,0.0000,0.0000,0.0000,0.0000,0.1546,0.0000,-0.2509,0.0000,0.0000,0.0000,0.0000
E4,0.0000,0.0000,0.0576,0.0000,0.0000,0.0000,0.0043,0.0000,0.0000,0.0000,0.0000
E5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3911,0.0000,0.0000,0.0000,0.0000
E6,0.0000,0.0000,-0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A1,0.0404,0.0000,0.1765,0.0000,0.5829,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000
A2,-0.2246,0.0000,-0.2207,0.0000,0.3968,0.0000,0.5653,0.0000,0.0000,0.0000,0.0000
A3,-0.1895,0.0000,0.0405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1293,0.0000,0.0000,0.0000,0.0000
