,E1,E2,E3,E4,E5,E6,E7,A1,A2,A3,A4
E1,0.0000,0.4000,0.7333,0.5500,0.3167,0.5167,0.4833,0.0000,0.0000,0.0000,0.0000
E2,0.7000,0.0000,0.3833,0.5167,0.3000,0.4667,0.4000,0.0000,0.0000,0.0000,0.0000
E3,0.1000,0.1000,0.0000,0.2667,0.2333,0.3833,0.3167,0.0000,0.0000,0.0000,0.0000
E4,0.1000,0.1000,0.3833,0.0000,0.2000,0.4000,0.1833,0.0000,0.0000,0.0000,0.0000
E5,-0.4833,-0.4333,-0.2167,-0.2500,0.0000,0.1167,-0.1333,0.0000,0.0000,0.0000,0.0000
E6,-0.4167,-0.2500,-0.2000,-0.0667,0.4333,0.0000,-0.0667,0.0000,0.0000,0.0000,0.0000
E7,-0.5000,-0.3167,-0.2000,-0.0167,0.2333,-0.0333,0.0000,0.0000,0.0000,0.0000,0.0000
A1,-0.1000,-0.1667,0.1167,0.1000,0.0333,0.5000,-0.1333,0.0000,0.0000,0.0000,0.0000
A2,-0.0167,-0.1167,0.0167,-0.0667,0.0667,0.2167,-0.1333,0.0000,0.0000,0.0000,0.0000
A3,0.0500,-0.0167,0.1333,0.0500,-0.0833,0.2667,-0.1333,0.0000,0.0000,0.0000,0.0000
A4,-0.7167,-0.7167,-0.3500,-0.2833,0.5833,0.2333,-0.1833,0.0000,0.0000,0.0000,0.0000
