,E1,E2,E3,E4,E5,E6,E7,A1,A2,A3,A4
E1,0.0000,0.2000,0.7500,0.0000,0.0000,0.0000,0.4833,0.0000,0.0000,0.0000,0.0000
E2,0.6167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E3,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.6333,0.0000,0.0000,0.0000,0.0000
E4,0.0000,0.0000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E5,-0.2333,0.0000,0.0000,0.0000,0.0000,0.3667,0.0000,0.0000,0.0000,0.0000,0.0000
E6,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E7,-0.1667,-0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A1,-0.4500,-0.1000,0.0000,0.0000,0.4667,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000
A2,-0.3167,-0.0667,0.0000,0.0000,0.3667,0.0667,0.0000,0.0000,0.0000,0.0000,0.0000
A3,-0.2167,-0.0333,0.0000,0.0000,0.2667,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000
A4,-0.7667,-0.2000,0.0000,0.0000,0.9000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000
